clauses,total,well,trial,typed,time
3,20,0,1,1,0.16
3,20,0,2,1,0.13
3,20,0,3,1,0.21
3,20,0,4,1,0.16
3,20,0,5,1,0.21
3,20,0,6,1,0.30
3,20,0,7,1,0.21
3,20,0,8,1,0.26
3,20,0,9,1,0.22
3,20,0,10,1,0.22
3,20,1,1,1,3.08
3,20,1,2,1,3.13
3,20,1,3,1,3.16
3,20,1,4,1,3.09
3,20,1,5,1,3.04
3,20,1,6,1,3.03
3,20,1,7,1,3.04
3,20,1,8,1,3.15
3,20,1,9,1,3.20
3,20,1,10,1,3.15
3,20,2,1,1,4.45
3,20,2,2,1,4.39
3,20,2,3,1,4.47
3,20,2,4,1,4.39
3,20,2,5,1,4.40
3,20,2,6,1,4.46
3,20,2,7,1,4.44
3,20,2,8,1,4.42
3,20,2,9,1,4.33
3,20,2,10,1,4.41
3,20,3,1,1,6.06
3,20,3,2,1,6.03
3,20,3,3,1,5.98
3,20,3,4,1,5.99
3,20,3,5,1,5.97
3,20,3,6,1,5.99
3,20,3,7,1,6.01
3,20,3,8,1,5.93
3,20,3,9,1,5.89
3,20,3,10,1,5.98
3,20,4,1,1,7.76
3,20,4,2,1,7.77
3,20,4,3,1,7.71
3,20,4,4,1,7.81
3,20,4,5,1,7.83
3,20,4,6,1,7.69
3,20,4,7,1,7.87
3,20,4,8,1,7.75
3,20,4,9,1,7.84
3,20,4,10,1,8.06
3,20,5,1,1,10.16
3,20,5,2,1,10.39
3,20,5,3,1,10.04
3,20,5,4,1,10.12
3,20,5,5,1,10.08
3,20,5,6,1,10.05
3,20,5,7,1,10.22
3,20,5,8,1,10.27
3,20,5,9,1,10.30
3,20,5,10,1,10.12
3,20,6,1,1,12.54
3,20,6,2,1,12.75
3,20,6,3,1,13.00
3,20,6,4,1,12.57
3,20,6,5,1,12.93
3,20,6,6,1,12.57
3,20,6,7,1,12.84
3,20,6,8,1,12.86
3,20,6,9,1,12.50
3,20,6,10,1,12.85
