clauses,total,well,trial,typed,time
3,20,0,1,0,76.31
3,20,0,2,0,77.66
3,20,0,3,0,77.18
3,20,0,4,0,77.37
3,20,0,5,0,77.31
3,20,0,6,0,76.43
3,20,0,7,0,76.64
3,20,0,8,0,78.97
3,20,0,9,0,76.98
3,20,0,10,0,77.36
3,20,1,1,0,76.81
3,20,1,2,0,76.20
3,20,1,3,0,75.90
3,20,1,4,0,76.30
3,20,1,5,0,76.15
3,20,1,6,0,77.87
3,20,1,7,0,77.75
3,20,1,8,0,76.45
3,20,1,9,0,78.84
3,20,1,10,0,75.56
3,20,2,1,0,78.62
3,20,2,2,0,77.81
3,20,2,3,0,76.61
3,20,2,4,0,76.98
3,20,2,5,0,76.94
3,20,2,6,0,77.07
3,20,2,7,0,77.19
3,20,2,8,0,77.55
3,20,2,9,0,79.46
3,20,2,10,0,78.52
3,20,3,1,0,76.18
3,20,3,2,0,79.28
3,20,3,3,0,76.14
3,20,3,4,0,76.42
3,20,3,5,0,77.54
3,20,3,6,0,76.48
3,20,3,7,0,76.65
3,20,3,8,0,76.99
3,20,3,9,0,78.15
3,20,3,10,0,77.78
3,20,4,1,0,76.67
3,20,4,2,0,76.82
3,20,4,3,0,77.42
3,20,4,4,0,77.86
3,20,4,5,0,75.95
3,20,4,6,0,78.51
3,20,4,7,0,77.53
3,20,4,8,0,77.59
3,20,4,9,0,76.68
3,20,4,10,0,76.72
3,20,5,1,0,76.32
3,20,5,2,0,76.22
3,20,5,3,0,76.45
3,20,5,4,0,77.02
3,20,5,5,0,77.85
3,20,5,6,0,77.34
3,20,5,7,0,78.35
3,20,5,8,0,76.37
3,20,5,9,0,76.71
3,20,5,10,0,77.78
3,20,6,1,0,78.26
3,20,6,2,0,77.83
3,20,6,3,0,75.81
3,20,6,4,0,78.25
3,20,6,5,0,78.54
3,20,6,6,0,79.45
3,20,6,7,0,76.40
3,20,6,8,0,77.26
3,20,6,9,0,76.69
3,20,6,10,0,79.41
3,20,7,1,0,77.12
3,20,7,2,0,76.79
3,20,7,3,0,78.21
3,20,7,4,0,80.04
3,20,7,5,0,78.26
3,20,7,6,0,79.19
3,20,7,7,0,77.68
3,20,7,8,0,78.28
3,20,7,9,0,78.15
3,20,7,10,0,76.33
3,20,8,1,0,78.56
3,20,8,2,0,79.84
3,20,8,3,0,78.41
3,20,8,4,0,77.31
3,20,8,5,0,77.36
3,20,8,6,0,77.31
3,20,8,7,0,76.14
3,20,8,8,0,76.15
3,20,8,9,0,76.28
3,20,8,10,0,78.15
3,20,9,1,0,76.56
3,20,9,2,0,76.76
3,20,9,3,0,78.41
3,20,9,4,0,78.55
3,20,9,5,0,75.74
3,20,9,6,0,77.13
3,20,9,7,0,77.40
3,20,9,8,0,76.60
3,20,9,9,0,76.21
3,20,9,10,0,76.77
3,20,10,1,0,76.96
3,20,10,2,0,77.86
3,20,10,3,0,80.91
3,20,10,4,0,76.70
3,20,10,5,0,77.32
3,20,10,6,0,76.36
3,20,10,7,0,77.40
3,20,10,8,0,79.11
3,20,10,9,0,77.50
3,20,10,10,0,76.12
3,20,11,1,0,77.23
3,20,11,2,0,76.32
3,20,11,3,0,76.18
3,20,11,4,0,78.38
3,20,11,5,0,78.00
3,20,11,6,0,77.64
3,20,11,7,0,76.14
3,20,11,8,0,77.04
3,20,11,9,0,80.36
3,20,11,10,0,76.89
3,20,12,1,0,77.05
3,20,12,2,0,77.55
3,20,12,3,0,76.45
3,20,12,4,0,76.17
3,20,12,5,0,76.47
3,20,12,6,0,77.51
3,20,12,7,0,78.60
3,20,12,8,0,76.80
3,20,12,9,0,77.40
3,20,12,10,0,79.05
3,20,13,1,0,77.17
3,20,13,2,0,77.00
3,20,13,3,0,77.26
3,20,13,4,0,76.86
3,20,13,5,0,76.31
3,20,13,6,0,80.16
3,20,13,7,0,77.44
3,20,13,8,0,79.24
3,20,13,9,0,77.93
3,20,13,10,0,76.23
3,20,14,1,0,79.15
3,20,14,2,0,77.14
3,20,14,3,0,77.02
3,20,14,4,0,76.17
3,20,14,5,0,77.27
3,20,14,6,0,77.40
3,20,14,7,0,77.10
3,20,14,8,0,78.05
3,20,14,9,0,76.65
3,20,14,10,0,77.26
3,20,15,1,0,76.21
3,20,15,2,0,79.10
3,20,15,3,0,77.00
3,20,15,4,0,77.34
3,20,15,5,0,76.57
3,20,15,6,0,76.62
3,20,15,7,0,79.18
3,20,15,8,0,77.34
3,20,15,9,0,77.91
3,20,15,10,0,77.61
3,20,16,1,0,76.32
3,20,16,2,0,76.83
3,20,16,3,0,76.69
3,20,16,4,0,76.06
3,20,16,5,0,76.74
3,20,16,6,0,77.31
3,20,16,7,0,77.29
3,20,16,8,0,80.60
3,20,16,9,0,76.42
3,20,16,10,0,76.64
3,20,17,1,0,77.14
3,20,17,2,0,77.01
3,20,17,3,0,76.02
3,20,17,4,0,75.60
3,20,17,5,0,76.10
3,20,17,6,0,79.58
3,20,17,7,0,77.55
3,20,17,8,0,76.16
3,20,17,9,0,78.18
3,20,17,10,0,76.90
3,20,18,1,0,77.90
3,20,18,2,0,77.20
3,20,18,3,0,77.86
3,20,18,4,0,79.28
3,20,18,5,0,76.69
3,20,18,6,0,75.72
3,20,18,7,0,77.40
3,20,18,8,0,77.82
3,20,18,9,0,77.04
3,20,18,10,0,75.71
3,20,19,1,0,76.93
3,20,19,2,0,75.84
3,20,19,3,0,77.10
3,20,19,4,0,76.53
3,20,19,5,0,77.83
3,20,19,6,0,77.15
3,20,19,7,0,79.05
3,20,19,8,0,77.38
3,20,19,9,0,76.37
3,20,19,10,0,78.21
3,20,20,1,0,77.24
3,20,20,2,0,78.18
3,20,20,3,0,77.37
3,20,20,4,0,77.71
3,20,20,5,0,76.88
3,20,20,6,0,77.39
3,20,20,7,0,76.96
3,20,20,8,0,76.37
3,20,20,9,0,77.11
3,20,20,10,0,76.44
