clauses,total,well,trial,typed,time
3,20,0,1,1,0.004087
3,20,0,2,1,0.004083
3,20,0,3,1,0.004071
3,20,0,4,1,0.004165
3,20,0,5,1,0.004152
3,20,0,6,1,0.004072
3,20,0,7,1,0.004174
3,20,0,8,1,0.004068
3,20,0,9,1,0.004347
3,20,0,10,1,0.004070
3,20,1,1,1,0.006484
3,20,1,2,1,0.006284
3,20,1,3,1,0.006279
3,20,1,4,1,0.006289
3,20,1,5,1,0.006413
3,20,1,6,1,0.006348
3,20,1,7,1,0.006340
3,20,1,8,1,0.006424
3,20,1,9,1,0.006368
3,20,1,10,1,0.006326
3,20,2,1,1,0.006697
3,20,2,2,1,0.006817
3,20,2,3,1,0.006754
3,20,2,4,1,0.006735
3,20,2,5,1,0.006838
3,20,2,6,1,0.006708
3,20,2,7,1,0.006719
3,20,2,8,1,0.006830
3,20,2,9,1,0.006741
3,20,2,10,1,0.006744
3,20,3,1,1,0.007658
3,20,3,2,1,0.007694
3,20,3,3,1,0.007696
3,20,3,4,1,0.007921
3,20,3,5,1,0.007751
3,20,3,6,1,0.007783
3,20,3,7,1,0.007880
3,20,3,8,1,0.007636
3,20,3,9,1,0.007763
3,20,3,10,1,0.007794
3,20,4,1,1,0.009562
3,20,4,2,1,0.009684
3,20,4,3,1,0.009604
3,20,4,4,1,0.009487
3,20,4,5,1,0.009503
3,20,4,6,1,0.009515
3,20,4,7,1,0.009658
3,20,4,8,1,0.009552
3,20,4,9,1,0.009709
3,20,4,10,1,0.009531
3,20,5,1,1,0.012799
3,20,5,2,1,0.012632
3,20,5,3,1,0.012661
3,20,5,4,1,0.012852
3,20,5,5,1,0.012761
3,20,5,6,1,0.012658
3,20,5,7,1,0.012716
3,20,5,8,1,0.012704
3,20,5,9,1,0.012995
3,20,5,10,1,0.012744
3,20,6,1,1,0.017589
3,20,6,2,1,0.017423
3,20,6,3,1,0.017480
3,20,6,4,1,0.017435
3,20,6,5,1,0.017450
3,20,6,6,1,0.017451
