ratio time error
0.0 0.0041289000000000005 8.760320897217311e-05
0.05 0.0063555 6.767610771576298e-05
0.1 0.0067583 5.146314754808101e-05
0.15 0.007757599999999999 9.205698718125014e-05
0.2 0.0095805 7.918087591780679e-05
0.25 0.012752200000000002 0.00010879113525977679
0.3 0.017474799999999995 7.159733080064999e-05
0.35 0.024538499999999998 0.00016337159415815816
0.4 0.0345344 0.00041579727966615886
0.45 0.047282199999999996 0.0002539990376184755
0.5 0.06411140000000001 0.0003841721836191031
0.55 0.08600150000000001 0.000408511457747652
0.6 0.11321600000000001 0.0006450209298929765
0.65 0.14739380000000002 0.0007383845429945956
0.7 0.18818799999999997 0.0008366528551316902
0.75 0.23780079999999998 0.0014415258736645814
0.8 0.29595499999999997 0.0008070789579988062
0.85 0.36448800000000003 0.0015278093249268176
0.9 0.45140009999999997 0.019732054876660864
0.95 0.5362373 0.002993163397180706
1.0 0.6469693999999999 0.010332703961478621
