clauses,total,well,trial,typed,time
3,20,0,1,0,0.539870
3,20,0,2,0,0.540370
3,20,0,3,0,0.538695
3,20,0,4,0,0.540958
3,20,0,5,0,0.539931
3,20,0,6,0,0.542043
3,20,0,7,0,0.537056
3,20,0,8,0,0.539167
3,20,0,9,0,0.541456
3,20,0,10,0,0.546679
3,20,1,1,0,0.540012
3,20,1,2,0,0.539699
3,20,1,3,0,0.542273
3,20,1,4,0,0.538559
3,20,1,5,0,0.541776
3,20,1,6,0,0.542396
3,20,1,7,0,0.539782
3,20,1,8,0,0.537071
3,20,1,9,0,0.546943
3,20,1,10,0,0.537633
3,20,2,1,0,0.539645
3,20,2,2,0,0.540995
3,20,2,3,0,0.545897
3,20,2,4,0,0.535760
3,20,2,5,0,0.540406
3,20,2,6,0,0.542306
3,20,2,7,0,0.540702
3,20,2,8,0,0.543108
3,20,2,9,0,0.538029
3,20,2,10,0,0.544851
3,20,3,1,0,0.537271
3,20,3,2,0,0.539295
3,20,3,3,0,0.537333
3,20,3,4,0,0.536080
3,20,3,5,0,0.538692
3,20,3,6,0,0.540610
3,20,3,7,0,0.538940
3,20,3,8,0,0.537870
3,20,3,9,0,0.538050
3,20,3,10,0,0.599647
3,20,4,1,0,0.540925
3,20,4,2,0,0.537186
3,20,4,3,0,0.540895
3,20,4,4,0,0.537709
3,20,4,5,0,0.538391
3,20,4,6,0,0.539690
3,20,4,7,0,0.546361
3,20,4,8,0,0.537295
3,20,4,9,0,0.536866
3,20,4,10,0,0.540798
3,20,5,1,0,0.538018
3,20,5,2,0,0.541509
3,20,5,3,0,0.541001
3,20,5,4,0,0.540313
3,20,5,5,0,0.544743
3,20,5,6,0,0.538712
3,20,5,7,0,0.535637
3,20,5,8,0,0.543721
3,20,5,9,0,0.539478
3,20,5,10,0,0.540441
3,20,6,1,0,0.539637
3,20,6,2,0,0.544894
3,20,6,3,0,0.541975
3,20,6,4,0,0.539225
3,20,6,5,0,0.539909
3,20,6,6,0,0.536885
3,20,6,7,0,0.539081
3,20,6,8,0,0.538393
3,20,6,9,0,0.541942
3,20,6,10,0,0.541958
3,20,7,1,0,0.557245
3,20,7,2,0,0.538168
3,20,7,3,0,0.536801
3,20,7,4,0,0.538851
3,20,7,5,0,0.537234
3,20,7,6,0,0.540261
3,20,7,7,0,0.537932
3,20,7,8,0,0.542600
3,20,7,9,0,0.539327
3,20,7,10,0,0.539810
3,20,8,1,0,0.569906
3,20,8,2,0,0.541490
3,20,8,3,0,0.538686
3,20,8,4,0,0.542495
3,20,8,5,0,0.541638
3,20,8,6,0,0.540463
3,20,8,7,0,0.537377
3,20,8,8,0,0.539357
3,20,8,9,0,0.538022
3,20,8,10,0,0.536096
3,20,9,1,0,0.537911
3,20,9,2,0,0.541470
3,20,9,3,0,0.539365
3,20,9,4,0,0.539546
3,20,9,5,0,0.537561
3,20,9,6,0,0.539706
3,20,9,7,0,0.539675
3,20,9,8,0,0.535809
3,20,9,9,0,0.541337
3,20,9,10,0,0.541958
3,20,10,1,0,0.537376
3,20,10,2,0,0.537643
3,20,10,3,0,0.538051
3,20,10,4,0,0.536296
3,20,10,5,0,0.538005
3,20,10,6,0,0.557877
3,20,10,7,0,0.548283
3,20,10,8,0,0.537633
3,20,10,9,0,0.539120
3,20,10,10,0,0.537851
3,20,11,1,0,0.540549
3,20,11,2,0,0.543494
3,20,11,3,0,0.537675
3,20,11,4,0,0.535734
3,20,11,5,0,0.537477
3,20,11,6,0,0.547839
3,20,11,7,0,0.545652
3,20,11,8,0,0.540203
3,20,11,9,0,0.539218
3,20,11,10,0,0.540956
3,20,12,1,0,0.537970
3,20,12,2,0,0.539702
3,20,12,3,0,0.541431
3,20,12,4,0,0.538625
3,20,12,5,0,0.539612
3,20,12,6,0,0.536505
3,20,12,7,0,0.538844
3,20,12,8,0,0.546471
3,20,12,9,0,0.536178
3,20,12,10,0,0.538710
3,20,13,1,0,0.542420
3,20,13,2,0,0.539440
3,20,13,3,0,0.540649
3,20,13,4,0,0.542046
3,20,13,5,0,0.541325
3,20,13,6,0,0.536348
3,20,13,7,0,0.547569
3,20,13,8,0,0.543689
3,20,13,9,0,0.544461
3,20,13,10,0,0.538481
3,20,14,1,0,0.536091
3,20,14,2,0,0.535311
3,20,14,3,0,0.539910
3,20,14,4,0,0.537636
3,20,14,5,0,0.540276
3,20,14,6,0,0.541071
3,20,14,7,0,0.538297
3,20,14,8,0,0.538170
3,20,14,9,0,0.538250
3,20,14,10,0,0.542398
3,20,15,1,0,0.540359
3,20,15,2,0,0.538518
3,20,15,3,0,0.539531
3,20,15,4,0,0.538135
3,20,15,5,0,0.540334
3,20,15,6,0,0.538738
3,20,15,7,0,0.541131
3,20,15,8,0,0.539992
3,20,15,9,0,0.541676
3,20,15,10,0,0.537128
3,20,16,1,0,0.541519
3,20,16,2,0,0.540560
3,20,16,3,0,0.538735
3,20,16,4,0,0.540962
3,20,16,5,0,0.541548
3,20,16,6,0,0.537825
3,20,16,7,0,0.542592
3,20,16,8,0,0.537967
3,20,16,9,0,0.539394
3,20,16,10,0,0.538139
3,20,17,1,0,0.538334
3,20,17,2,0,0.539783
3,20,17,3,0,0.536919
3,20,17,4,0,0.540969
3,20,17,5,0,0.539702
3,20,17,6,0,0.549395
3,20,17,7,0,0.538013
3,20,17,8,0,0.539941
3,20,17,9,0,0.538419
3,20,17,10,0,0.538708
3,20,18,1,0,0.540411
3,20,18,2,0,0.537831
3,20,18,3,0,0.540798
3,20,18,4,0,0.542274
3,20,18,5,0,0.538649
3,20,18,6,0,0.539734
3,20,18,7,0,0.544150
3,20,18,8,0,0.541932
3,20,18,9,0,0.538996
3,20,18,10,0,0.545053
3,20,19,1,0,0.538309
3,20,19,2,0,0.602295
3,20,19,3,0,0.542594
3,20,19,4,0,0.538865
3,20,19,5,0,0.537971
3,20,19,6,0,0.543299
3,20,19,7,0,0.538348
3,20,19,8,0,0.536453
3,20,19,9,0,0.539084
3,20,19,10,0,0.540246
