clauses,preds,trial,typed,time
3,0,1,1,9.61
3,0,2,1,9.72
3,0,3,1,9.48
3,0,4,1,9.50
3,0,5,1,9.38
3,0,6,1,9.64
3,0,7,1,6.39
3,0,8,1,9.51
3,0,9,1,9.58
3,0,10,1,9.79
3,1,1,1,9.55
3,1,2,1,15.66
3,1,3,1,10.42
3,1,4,1,9.58
3,1,5,1,11.18
3,1,6,1,6.02
3,1,7,1,14.92
3,1,8,1,11.22
3,1,9,1,9.57
3,1,10,1,15.77
3,2,1,1,11.15
3,2,2,1,11.30
3,2,3,1,9.49
3,2,4,1,11.13
3,2,5,1,9.68
3,2,6,1,15.79
3,2,7,1,3.51
3,2,8,1,9.59
3,2,9,1,10.37
3,2,10,1,9.49
3,3,1,1,15.24
3,3,2,1,6.70
3,3,3,1,16.20
3,3,4,1,10.04
3,3,5,1,16.77
3,3,6,1,9.63
3,3,7,1,21.39
3,3,8,1,10.54
3,3,9,1,9.39
3,3,10,1,15.86
3,4,1,1,14.50
3,4,2,1,14.81
3,4,3,1,12.06
3,4,4,1,41.04
3,4,5,1,14.54
3,4,6,1,15.92
3,4,7,1,17.02
3,4,8,1,10.82
3,4,9,1,15.95
3,4,10,1,7.35
3,5,1,1,6.29
3,5,2,1,16.51
3,5,3,1,11.22
3,5,4,1,9.61
3,5,5,1,16.95
3,5,6,1,10.24
3,5,7,1,15.61
3,5,8,1,11.21
3,5,9,1,11.79
3,5,10,1,11.16
3,6,1,1,58.40
3,6,2,1,16.67
3,6,3,1,11.23
3,6,4,1,10.97
3,6,5,1,17.06
3,6,6,1,23.05
3,6,7,1,10.42
3,6,8,1,10.40
3,6,9,1,16.21
3,6,10,1,17.80
3,7,1,1,16.52
3,7,2,1,16.75
3,7,3,1,25.61
3,7,4,1,12.05
3,7,5,1,23.06
3,7,6,1,16.54
3,7,7,1,11.10
3,7,8,1,58.58
3,7,9,1,22.18
3,7,10,1,58.50
3,8,1,1,10.31
3,8,2,1,38.21
3,8,3,1,20.90
3,8,4,1,9.72
3,8,5,1,16.72
3,8,6,1,15.21
3,8,7,1,32.36
3,8,8,1,23.80
3,8,9,1,23.71
3,8,10,1,11.37
3,9,1,1,12.90
3,9,2,1,18.21
3,9,3,1,11.02
3,9,4,1,11.03
3,9,5,1,24.30
3,9,6,1,33.58
3,9,7,1,60.51
3,9,8,1,56.95
3,9,9,1,23.04
3,9,10,1,16.34
3,10,1,1,44.95
3,10,2,1,55.58
3,10,3,1,17.88
3,10,4,1,60.55
3,10,5,1,17.19
3,10,6,1,46.64
3,10,7,1,51.76
3,10,8,1,24.33
3,10,9,1,56.94
3,10,10,1,51.55
