clauses,preds,trial,typed,time
3,0,1,0,8.95
3,0,2,0,2.21
3,0,3,0,9.02
3,0,4,0,0.62
3,0,5,0,0.14
3,0,6,0,0.13
3,0,7,0,8.90
3,0,8,0,0.12
3,0,9,0,0.82
3,0,10,0,0.12
3,1,1,0,1.61
3,1,2,0,7.55
3,1,3,0,0.64
3,1,4,0,0.16
3,1,5,0,9.01
3,1,6,0,0.14
3,1,7,0,2.17
3,1,8,0,0.11
3,1,9,0,0.12
3,1,10,0,2.15
3,2,1,0,0.62
3,2,2,0,0.13
3,2,3,0,1.43
3,2,4,0,2.24
3,2,5,0,2.23
3,2,6,0,0.20
3,2,7,0,2.13
3,2,8,0,9.10
3,2,9,0,0.13
3,2,10,0,0.55
3,3,1,0,13.15
3,3,2,0,0.16
3,3,3,0,1.61
3,3,4,0,0.15
3,3,5,0,0.13
3,3,6,0,0.11
3,3,7,0,0.13
3,3,8,0,5.79
3,3,9,0,0.83
3,3,10,0,5.83
3,4,1,0,0.77
3,4,2,0,0.13
3,4,3,0,23.16
3,4,4,0,2.45
3,4,5,0,0.65
3,4,6,0,0.16
3,4,7,0,9.78
3,4,8,0,8.57
3,4,9,0,0.11
3,4,10,0,0.69
3,5,1,0,0.15
3,5,2,0,0.18
3,5,3,0,2.28
3,5,4,0,5.96
3,5,5,0,2.30
3,5,6,0,2.47
3,5,7,0,33.59
3,5,8,0,0.12
3,5,9,0,0.14
3,5,10,0,1.61
3,6,1,0,105.87
3,6,2,0,0.17
3,6,3,0,8.34
3,6,4,0,0.14
3,6,5,0,0.74
3,6,6,0,9.20
3,6,7,0,0.16
3,6,8,0,0.23
3,6,9,0,0.18
3,6,10,0,0.20
3,7,1,0,6.05
3,7,2,0,0.28
3,7,3,0,0.21
3,7,4,0,0.15
3,7,5,0,54.49
3,7,6,0,14.17
3,7,7,0,18.11
3,7,8,0,6.20
3,7,9,0,5.15
3,7,10,0,6.19
3,8,1,0,19.01
3,8,2,0,100.33
3,8,3,0,0.15
3,8,4,0,0.15
3,8,5,0,43.96
3,8,6,0,1.81
3,8,7,0,0.13
3,8,8,0,1.73
3,8,9,0,0.18
3,8,10,0,0.23
3,9,1,0,0.39
3,9,2,0,0.19
3,9,3,0,0.19
3,9,4,0,2.32
3,9,5,0,106.90
3,9,6,0,20.46
3,9,7,0,60.23
3,9,8,0,0.13
3,9,9,0,0.19
3,9,10,0,53.54
3,10,1,0,9.24
3,10,2,0,0.40
3,10,3,0,85.03
3,10,4,0,0.16
3,10,5,0,10.38
3,10,6,0,0.74
3,10,7,0,0.34
3,10,8,0,0.21
3,10,9,0,143.70
3,10,10,0,5.34
