clauses,preds,trial,typed,time
3,0,1,1,0.008020
3,0,2,1,0.008125
3,0,3,1,0.007796
3,0,4,1,0.007801
3,0,5,1,0.008121
3,0,6,1,0.007864
3,0,7,1,0.007865
3,0,8,1,0.007980
3,0,9,1,0.007847
3,0,10,1,0.007797
3,1,1,1,0.007875
3,1,2,1,0.008647
3,1,3,1,0.008279
3,1,4,1,0.007983
3,1,5,1,0.008189
3,1,6,1,0.008017
3,1,7,1,0.008855
3,1,8,1,0.008700
3,1,9,1,0.008377
3,1,10,1,0.007709
3,2,1,1,0.008334
3,2,2,1,0.008804
3,2,3,1,0.009467
3,2,4,1,0.008052
3,2,5,1,0.008644
3,2,6,1,0.008544
3,2,7,1,0.008571
3,2,8,1,0.009058
3,2,9,1,0.008742
3,2,10,1,0.008630
3,3,1,1,0.008972
3,3,2,1,0.012057
3,3,3,1,0.008973
3,3,4,1,0.008392
3,3,5,1,0.010111
3,3,6,1,0.008032
3,3,7,1,0.007987
3,3,8,1,0.009368
3,3,9,1,0.008927
3,3,10,1,0.008583
3,4,1,1,0.007919
3,4,2,1,0.008956
3,4,3,1,0.008883
3,4,4,1,0.010231
3,4,5,1,0.010059
3,4,6,1,0.009404
3,4,7,1,0.008701
3,4,8,1,0.009709
3,4,9,1,0.008102
3,4,10,1,0.008357
3,5,1,1,0.009823
3,5,2,1,0.011315
3,5,3,1,0.010316
3,5,4,1,0.008468
3,5,5,1,0.010456
3,5,6,1,0.011262
3,5,7,1,0.009986
3,5,8,1,0.008845
3,5,9,1,0.008216
3,5,10,1,0.009681
3,6,1,1,0.011987
3,6,2,1,0.013370
3,6,3,1,0.009679
3,6,4,1,0.011377
3,6,5,1,0.013486
3,6,6,1,0.012901
3,6,7,1,0.013586
3,6,8,1,0.010421
3,6,9,1,0.009031
3,6,10,1,0.013014
3,7,1,1,0.010881
3,7,2,1,0.010333
3,7,3,1,0.011544
3,7,4,1,0.012458
3,7,5,1,0.010545
3,7,6,1,0.009324
3,7,7,1,0.010940
3,7,8,1,0.008477
3,7,9,1,0.012327
3,7,10,1,0.012284
3,8,1,1,0.009709
3,8,2,1,0.013134
3,8,3,1,0.013798
3,8,4,1,0.009936
3,8,5,1,0.012745
3,8,6,1,0.015648
3,8,7,1,0.009608
3,8,8,1,0.011701
3,8,9,1,0.008829
3,8,10,1,0.009618
3,9,1,1,0.011012
3,9,2,1,0.011826
3,9,3,1,0.014303
3,9,4,1,0.018011
3,9,5,1,0.014129
3,9,6,1,0.012804
3,9,7,1,0.009637
3,9,8,1,0.009400
3,9,9,1,0.009173
3,9,10,1,0.010374
3,10,1,1,0.015603
3,10,2,1,0.016977
3,10,3,1,0.014846
3,10,4,1,0.011144
3,10,5,1,0.012486
3,10,6,1,0.013771
3,10,7,1,0.011781
3,10,8,1,0.012380
3,10,9,1,0.015103
3,10,10,1,0.014805
3,11,1,1,0.011961
3,11,2,1,0.010651
3,11,3,1,0.014223
3,11,4,1,0.013721
3,11,5,1,0.015058
3,11,6,1,0.009444
3,11,7,1,0.013425
3,11,8,1,0.012157
3,11,9,1,0.021052
3,11,10,1,0.013591
3,12,1,1,0.013513
3,12,2,1,0.019553
3,12,3,1,0.017085
3,12,4,1,0.015536
3,12,5,1,0.015391
3,12,6,1,0.014390
3,12,7,1,0.011732
3,12,8,1,0.015720
3,12,9,1,0.014938
3,12,10,1,0.011382
3,13,1,1,0.020022
3,13,2,1,0.018635
3,13,3,1,0.015942
3,13,4,1,0.008960
3,13,5,1,0.017447
3,13,6,1,0.011532
3,13,7,1,0.010477
3,13,8,1,0.014496
3,13,9,1,0.013525
3,13,10,1,0.012691
3,14,1,1,0.019909
3,14,2,1,0.017272
3,14,3,1,0.018271
3,14,4,1,0.019452
3,14,5,1,0.016108
3,14,6,1,0.019845
3,14,7,1,0.017592
3,14,8,1,0.016036
3,14,9,1,0.010491
3,14,10,1,0.016678
3,15,1,1,0.019408
3,15,2,1,0.028284
3,15,3,1,0.014060
3,15,4,1,0.018155
