clauses,preds,trial,typed,time
3,0,1,0,0.007718
3,0,2,0,0.007870
3,0,3,0,0.007611
3,0,4,0,0.007600
3,0,5,0,0.007889
3,0,6,0,0.007495
3,0,7,0,0.007546
3,0,8,0,0.007744
3,0,9,0,0.007486
3,0,10,0,0.007475
3,1,1,0,0.008622
3,1,2,0,0.009303
3,1,3,0,0.012481
3,1,4,0,0.008975
3,1,5,0,0.008609
3,1,6,0,0.008969
3,1,7,0,0.009746
3,1,8,0,0.010243
3,1,9,0,0.009696
3,1,10,0,0.011741
3,2,1,0,0.011270
3,2,2,0,0.014758
3,2,3,0,0.012119
3,2,4,0,0.009850
3,2,5,0,0.012074
3,2,6,0,0.011875
3,2,7,0,0.011105
3,2,8,0,0.014769
3,2,9,0,0.011796
3,2,10,0,0.012326
3,3,1,0,0.013027
3,3,2,0,0.016377
3,3,3,0,0.014361
3,3,4,0,0.011039
3,3,5,0,0.016376
3,3,6,0,0.010504
3,3,7,0,0.010607
3,3,8,0,0.015744
3,3,9,0,0.018672
3,3,10,0,0.015981
3,4,1,0,0.012408
3,4,2,0,0.019145
3,4,3,0,0.014050
3,4,4,0,0.021449
3,4,5,0,0.018243
3,4,6,0,0.018571
3,4,7,0,0.019052
3,4,8,0,0.017788
3,4,9,0,0.015045
3,4,10,0,0.014335
3,5,1,0,0.026832
3,5,2,0,0.037388
3,5,3,0,0.025593
3,5,4,0,0.016080
3,5,5,0,0.032398
3,5,6,0,0.035248
3,5,7,0,0.028891
3,5,8,0,0.020711
3,5,9,0,0.015842
3,5,10,0,0.026274
3,6,1,0,0.020948
3,6,2,0,0.030365
3,6,3,0,0.029835
3,6,4,0,0.035157
3,6,5,0,0.049630
3,6,6,0,0.029988
3,6,7,0,0.028429
3,6,8,0,0.032391
3,6,9,0,0.023789
3,6,10,0,0.030731
3,7,1,0,0.040227
3,7,2,0,0.041912
3,7,3,0,0.050310
3,7,4,0,0.059881
3,7,5,0,0.037874
3,7,6,0,0.025481
3,7,7,0,0.040980
3,7,8,0,0.022372
3,7,9,0,0.050427
3,7,10,0,0.023797
3,8,1,0,0.037677
3,8,2,0,0.031325
3,8,3,0,0.040599
3,8,4,0,0.049816
3,8,5,0,0.027365
3,8,6,0,0.071377
3,8,7,0,0.040626
3,8,8,0,0.057256
3,8,9,0,0.026208
3,8,10,0,0.037734
3,9,1,0,0.054186
3,9,2,0,0.065984
3,9,3,0,0.046810
3,9,4,0,0.115886
3,9,5,0,0.041749
3,9,6,0,0.036502
3,9,7,0,0.030874
3,9,8,0,0.029328
3,9,9,0,0.036351
3,9,10,0,0.041026
3,10,1,0,0.080155
3,10,2,0,0.079165
3,10,3,0,0.058426
3,10,4,0,0.053765
3,10,5,0,0.087705
3,10,6,0,0.114972
3,10,7,0,0.066738
3,10,8,0,0.065827
3,10,9,0,0.085277
3,10,10,0,0.125857
3,11,1,0,0.088528
3,11,2,0,0.066187
3,11,3,0,0.064376
3,11,4,0,0.105436
3,11,5,0,0.091221
3,11,6,0,0.044958
3,11,7,0,0.117864
3,11,8,0,0.099123
3,11,9,0,0.161941
3,11,10,0,0.064733
3,12,1,0,0.102500
3,12,2,0,0.200194
3,12,3,0,0.120521
3,12,4,0,0.097202
3,12,5,0,0.092560
3,12,6,0,0.066946
3,12,7,0,0.072540
3,12,8,0,0.136969
3,12,9,0,0.069492
3,12,10,0,0.098198
3,13,1,0,0.251234
3,13,2,0,0.132016
3,13,3,0,0.087200
3,13,4,0,0.043282
3,13,5,0,0.132392
3,13,6,0,0.098600
3,13,7,0,0.047626
3,13,8,0,0.142736
3,13,9,0,0.114403
3,13,10,0,0.117888
3,14,1,0,0.147443
3,14,2,0,0.207299
3,14,3,0,0.169769
3,14,4,0,0.186117
3,14,5,0,0.113054
3,14,6,0,0.209723
3,14,7,0,0.165329
3,14,8,0,0.086900
3,14,9,0,0.078394
3,14,10,0,0.152418
3,15,1,0,0.168967
3,15,2,0,0.430580
3,15,3,0,0.187942
3,15,4,0,0.217224
3,15,5,0,0.201967
3,15,6,0,0.188105
3,15,7,0,0.120746
3,15,8,0,0.182272
3,15,9,0,0.106774
3,15,10,0,0.161397
3,16,1,0,0.293991
3,16,2,0,0.300461
3,16,3,0,0.254612
3,16,4,0,0.154035
3,16,5,0,0.191976
3,16,6,0,0.104431
3,16,7,0,0.104425
3,16,8,0,0.446442
3,16,9,0,0.088747
3,16,10,0,0.205547
3,17,1,0,0.216105
3,17,2,0,0.397124
3,17,3,0,0.403557
3,17,4,0,0.302044
3,17,5,0,0.265697
3,17,6,0,0.237522
3,17,7,0,0.341768
3,17,8,0,0.199519
3,17,9,0,0.255062
3,17,10,0,0.349519
3,18,1,0,0.073861
3,18,2,0,0.572707
3,18,3,0,0.286274
3,18,4,0,0.452563
3,18,5,0,0.277227
3,18,6,0,0.496981
3,18,7,0,0.275958
3,18,8,0,0.248487
3,18,9,0,0.373032
3,18,10,0,0.331838
3,19,1,0,0.237775
3,19,2,0,0.224249
3,19,3,0,0.548988
3,19,4,0,0.242412
3,19,5,0,0.406586
3,19,6,0,0.197178
3,19,7,0,0.228165
3,19,8,0,0.359360
3,19,9,0,0.359568
3,19,10,0,0.458645
3,20,1,0,0.440227
3,20,2,0,0.780785
3,20,3,0,0.194315
3,20,4,0,0.682246
3,20,5,0,0.683494
3,20,6,0,0.538785
3,20,7,0,0.591690
3,20,8,0,0.335520
3,20,9,0,0.229711
3,20,10,0,0.212195
3,21,1,0,0.283397
3,21,2,0,0.586848
3,21,3,0,0.566833
3,21,4,0,0.256187
3,21,5,0,0.367183
3,21,6,0,0.610226
3,21,7,0,0.386521
3,21,8,0,0.678919
3,21,9,0,0.321803
3,21,10,0,0.439581
3,22,1,0,0.454945
3,22,2,0,0.188269
3,22,3,0,0.363282
3,22,4,0,0.323736
3,22,5,0,0.360425
3,22,6,0,0.642833
3,22,7,0,0.514762
3,22,8,0,0.325879
3,22,9,0,0.506178
3,22,10,0,0.681175
3,23,1,0,1.040051
3,23,2,0,1.035167
3,23,3,0,1.014839
3,23,4,0,0.703215
3,23,5,0,0.803628
3,23,6,0,0.806341
3,23,7,0,0.583396
3,23,8,0,0.347326
3,23,9,0,0.592658
3,23,10,0,0.904702
3,24,1,0,0.578844
3,24,2,0,0.827032
3,24,3,0,0.690198
3,24,4,0,0.355258
3,24,5,0,0.712861
3,24,6,0,1.046196
3,24,7,0,0.494289
3,24,8,0,0.658469
3,24,9,0,1.008370
3,24,10,0,0.973376
3,25,1,0,0.566669
3,25,2,0,0.452994
3,25,3,0,0.406606
3,25,4,0,0.820184
3,25,5,0,0.990617
3,25,6,0,1.422301
3,25,7,0,1.211789
3,25,8,0,0.645867
3,25,9,0,0.510499
3,25,10,0,0.706442
3,26,1,0,0.796483
3,26,2,0,0.731037
3,26,3,0,1.240153
3,26,4,0,1.346438
3,26,5,0,1.409115
3,26,6,0,1.233483
3,26,7,0,0.921158
3,26,8,0,0.785185
3,26,9,0,1.799468
3,26,10,0,0.572341
3,27,1,0,1.179093
3,27,2,0,1.231425
3,27,3,0,1.526026
3,27,4,0,0.638005
3,27,5,0,1.243815
3,27,6,0,1.057779
3,27,7,0,1.224422
3,27,8,0,0.668173
3,27,9,0,0.700888
3,27,10,0,0.654537
3,28,1,0,1.395577
3,28,2,0,1.111078
3,28,3,0,1.039389
3,28,4,0,1.207532
3,28,5,0,1.524618
3,28,6,0,0.719501
3,28,7,0,1.113509
3,28,8,0,1.152190
3,28,9,0,0.755746
3,28,10,0,1.130999
3,29,1,0,0.871306
3,29,2,0,1.349710
3,29,3,0,1.050942
3,29,4,0,0.736087
3,29,5,0,2.048891
3,29,6,0,1.001311
3,29,7,0,1.006202
3,29,8,0,1.185113
3,29,9,0,1.588369
3,29,10,0,1.371051
3,30,1,0,1.315917
3,30,2,0,1.626081
3,30,3,0,2.420872
3,30,4,0,0.900568
3,30,5,0,1.350627
3,30,6,0,1.048485
3,30,7,0,1.978446
3,30,8,0,1.833708
3,30,9,0,0.769079
3,30,10,0,1.284517
