preds time error
0 0.007643399999999999 0.00015453457002668808
1 0.0098385 0.0013154957029365187
2 0.0121942 0.0015288473363216416
3 0.014268800000000002 0.0028469376842104885
4 0.0170086 0.0028665084917601992
5 0.026525700000000003 0.007395483322046414
6 0.031126300000000006 0.00766406574794925
7 0.039326099999999996 0.01246775254138986
8 0.0419983 0.014044007690510252
9 0.0498696 0.025677963419589528
10 0.08178869999999999 0.023362631687043403
11 0.0904367 0.03360887970644398
12 0.1057122 0.03993105160092276
13 0.11673769999999999 0.05833242162344673
14 0.1516446 0.04623564696734424
15 0.1965974 0.08905590345420367
16 0.21446669999999995 0.11225129339819061
17 0.2967917 0.07340109700974048
18 0.33889279999999994 0.14249537629442188
19 0.32629260000000004 0.1189500160760346
20 0.4688968 0.21754150901471656
21 0.44974980000000003 0.1502606189657009
22 0.4361483999999999 0.15328903145815023
23 0.7831323 0.22887249413109662
24 0.7344893000000001 0.22894669988111982
25 0.7733968 0.3386951950011167
26 1.0834860999999998 0.3826872773176117
27 1.0124162999999997 0.32039995022022427
28 1.1150139000000003 0.24674078076864842
29 1.2208982 0.3860743310661533
30 1.4528299999999998 0.5144560198805466
