clauses,preds,trial,typed,time
3,0,1,1,9.49
3,0,2,1,9.48
3,0,3,1,9.58
3,0,4,1,9.43
3,0,5,1,9.59
3,0,6,1,9.59
3,0,7,1,9.51
3,0,8,1,9.57
3,0,9,1,9.51
3,0,10,1,9.76
3,1,1,1,9.54
3,1,2,1,9.51
3,1,3,1,9.64
3,1,4,1,14.89
3,1,5,1,3.52
3,1,6,1,9.65
3,1,7,1,9.40
3,1,8,1,9.51
3,1,9,1,9.62
3,1,10,1,9.42
3,2,1,1,9.71
3,2,2,1,135.00
3,2,3,1,3.59
3,2,4,1,15.81
3,2,5,1,9.73
3,2,6,1,32.88
3,2,7,1,60.31
3,2,8,1,9.52
3,2,9,1,9.58
3,2,10,1,165.59
3,3,1,1,13.74
3,3,2,1,87.45
3,3,3,1,9.47
3,3,4,1,9.59
3,3,5,1,238.64
3,3,6,1,9.59
3,3,7,1,17.31
3,3,8,1,12.52
3,3,9,1,83.74
3,3,10,1,20.36
3,4,1,1,9.62
3,4,2,1,6.64
3,4,3,1,25.23
3,4,4,1,19.77
3,4,5,1,134.28
3,4,6,1,87.03
3,4,7,1,72.07
3,4,8,1,9.57
3,4,9,1,211.45
3,4,10,1,13.02
3,5,1,1,9.53
3,5,2,1,38.64
3,5,3,1,600.24
3,5,4,1,150.03
3,5,5,1,9.76
3,5,6,1,23.29
3,5,7,1,84.55
3,5,8,1,34.77
3,5,9,1,14.23
3,5,10,1,12.63
3,6,1,1,600.00
3,6,2,1,600.00
3,6,3,1,600.00
3,6,4,1,30.56
3,6,5,1,12.52
3,6,6,1,189.72
3,6,7,1,20.74
3,6,8,1,21.48
3,6,9,1,115.35
3,6,10,1,600.00
3,7,1,1,118.79
3,7,2,1,83.34
3,7,3,1,600.07
3,7,4,1,11.46
3,7,5,1,152.37
3,7,6,1,59.84
3,7,7,1,125.40
3,7,8,1,33.02
3,7,9,1,111.41
3,7,10,1,119.64
3,8,1,1,9.89
3,8,2,1,9.71
3,8,3,1,22.72
3,8,4,1,189.72
3,8,5,1,220.76
3,8,6,1,114.15
3,8,7,1,283.90
3,8,8,1,600.06
3,8,9,1,81.47
3,8,10,1,25.24
3,9,1,1,600.00
3,9,2,1,152.46
3,9,3,1,600.22
3,9,4,1,169.75
3,9,5,1,600.08
3,9,6,1,69.62
3,9,7,1,600.21
3,9,8,1,164.68
3,9,9,1,20.93
3,9,10,1,245.27
3,10,1,1,83.66
3,10,2,1,25.43
3,10,3,1,374.85
3,10,4,1,21.39
3,10,5,1,153.52
3,10,6,1,15.29
3,10,7,1,115.37
3,10,8,1,600.05
3,10,9,1,52.10
3,10,10,1,71.57
