clauses,preds,trial,typed,time
3,0,1,0,8.73
3,0,2,0,8.90
3,0,3,0,9.01
3,0,4,0,8.93
3,0,5,0,8.79
3,0,6,0,8.87
3,0,7,0,9.06
3,0,8,0,8.84
3,0,9,0,8.92
3,0,10,0,8.88
3,1,1,0,8.94
3,1,2,0,8.76
3,1,3,0,8.94
3,1,4,0,21.53
3,1,5,0,3.39
3,1,6,0,8.89
3,1,7,0,8.85
3,1,8,0,8.90
3,1,9,0,8.98
3,1,10,0,8.85
3,2,1,0,8.98
3,2,2,0,102.98
3,2,3,0,3.39
3,2,4,0,28.18
3,2,5,0,9.10
3,2,6,0,28.87
3,2,7,0,44.50
3,2,8,0,8.72
3,2,9,0,8.83
3,2,10,0,260.48
3,3,1,0,20.42
3,3,2,0,202.24
3,3,3,0,8.80
3,3,4,0,8.90
3,3,5,0,191.01
3,3,6,0,8.99
3,3,7,0,15.75
3,3,8,0,19.18
3,3,9,0,78.17
3,3,10,0,29.05
3,4,1,0,9.01
3,4,2,0,6.05
3,4,3,0,41.00
3,4,4,0,28.87
3,4,5,0,104.62
3,4,6,0,81.07
3,4,7,0,66.89
3,4,8,0,9.01
3,4,9,0,187.28
3,4,10,0,21.30
3,5,1,0,8.95
3,5,2,0,37.29
3,5,3,0,596.55
3,5,4,0,274.52
3,5,5,0,9.16
3,5,6,0,20.72
3,5,7,0,76.75
3,5,8,0,31.31
3,5,9,0,21.82
3,5,10,0,19.39
3,6,1,0,586.22
3,6,2,0,583.78
3,6,3,0,593.25
3,6,4,0,47.40
3,6,5,0,19.25
3,6,6,0,178.49
3,6,7,0,30.90
3,6,8,0,55.11
3,6,9,0,196.46
3,6,10,0,592.41
3,7,1,0,99.61
3,7,2,0,81.78
3,7,3,0,599.18
3,7,4,0,11.77
3,7,5,0,237.12
3,7,6,0,57.51
3,7,7,0,231.98
3,7,8,0,29.93
3,7,9,0,600.38
3,7,10,0,205.83
3,8,1,0,23.41
3,8,2,0,9.04
3,8,3,0,58.28
3,8,4,0,600.22
3,8,5,0,600.46
3,8,6,0,104.56
3,8,7,0,480.35
3,8,8,0,600.50
3,8,9,0,600.32
3,8,10,0,31.89
3,9,1,0,600.31
3,9,2,0,143.50
3,9,3,0,600.33
3,9,4,0,325.77
3,9,5,0,600.28
3,9,6,0,111.51
3,9,7,0,600.14
3,9,8,0,283.11
3,9,9,0,19.05
3,9,10,0,600.50
3,10,1,0,79.60
3,10,2,0,45.49
3,10,3,0,594.78
3,10,4,0,31.33
3,10,5,0,255.68
3,10,6,0,21.96
3,10,7,0,600.40
3,10,8,0,564.50
3,10,9,0,92.04
3,10,10,0,197.19
