clauses,preds,trial,typed,time
3,0,1,1,0.008720
3,0,2,1,0.008714
3,0,3,1,0.008301
3,0,4,1,0.008427
3,0,5,1,0.008682
3,0,6,1,0.008428
3,0,7,1,0.008856
3,0,8,1,0.008344
3,0,9,1,0.008799
3,0,10,1,0.008072
3,1,1,1,0.008374
3,1,2,1,0.008621
3,1,3,1,0.008632
3,1,4,1,0.008622
3,1,5,1,0.008713
3,1,6,1,0.009164
3,1,7,1,0.008788
3,1,8,1,0.008645
3,1,9,1,0.008807
3,1,10,1,0.009126
3,2,1,1,0.008998
3,2,2,1,0.009280
3,2,3,1,0.008451
3,2,4,1,0.009256
3,2,5,1,0.009320
3,2,6,1,0.008369
3,2,7,1,0.008345
3,2,8,1,0.009440
3,2,9,1,0.010539
3,2,10,1,0.009228
3,3,1,1,0.009843
3,3,2,1,0.010235
3,3,3,1,0.008887
3,3,4,1,0.013556
3,3,5,1,0.009485
3,3,6,1,0.010888
3,3,7,1,0.009889
3,3,8,1,0.008571
3,3,9,1,0.010523
3,3,10,1,0.008298
3,4,1,1,0.009067
3,4,2,1,0.011101
3,4,3,1,0.008893
3,4,4,1,0.013756
3,4,5,1,0.008767
3,4,6,1,0.008397
3,4,7,1,0.010852
3,4,8,1,0.010408
3,4,9,1,0.008195
3,4,10,1,0.010667
3,5,1,1,0.009954
3,5,2,1,0.009432
3,5,3,1,0.036212
3,5,4,1,0.009880
3,5,5,1,0.014506
3,5,6,1,0.010845
3,5,7,1,0.014849
3,5,8,1,0.009809
3,5,9,1,0.012982
3,5,10,1,0.008776
3,6,1,1,0.015128
3,6,2,1,0.013132
3,6,3,1,0.012150
3,6,4,1,0.014431
3,6,5,1,0.012940
3,6,6,1,0.014437
3,6,7,1,0.024842
3,6,8,1,0.013279
3,6,9,1,0.008454
3,6,10,1,0.010200
3,7,1,1,0.009357
3,7,2,1,0.013756
3,7,3,1,0.012768
3,7,4,1,0.015197
3,7,5,1,0.014284
3,7,6,1,0.014855
3,7,7,1,0.014925
3,7,8,1,0.010403
3,7,9,1,0.014540
3,7,10,1,0.013735
3,8,1,1,0.013691
3,8,2,1,0.063126
3,8,3,1,0.009666
3,8,4,1,0.014920
3,8,5,1,0.009685
