preds time error
0 0.0085343 0.000255891925972
1 0.0087492 0.000239948512996
2 0.0091226 0.000653088763748
3 0.0100175 0.00149959922424
4 0.0100103 0.00170293191943
5 0.0137245 0.00818974239522
6 0.0138993 0.00434759389522
7 0.013382 0.00199209320398
8 0.0183311 0.0161388019688
9 0.0164249 0.00615134925488
10 0.0233446 0.0125156832565
11 0.0259699 0.00996367291102
12 0.0198938 0.00710675545285
13 0.0341763 0.0278246969358
14 0.0369283 0.022306923091
15 0.0262052 0.0114583750913
16 0.0692071 0.0710552062983
17 0.0331758 0.00879539558582
18 0.0510126 0.0219388019586
19 0.0609511 0.0378545359896
20 0.0633389 0.0263671159441
21 0.0696488 0.0342541184541
