clauses,preds,trial,typed,time
3,0,1,0,0.008502
3,0,2,0,0.008258
3,0,3,0,0.007928
3,0,4,0,0.008347
3,0,5,0,0.008261
3,0,6,0,0.007968
3,0,7,0,0.008285
3,0,8,0,0.007886
3,0,9,0,0.008411
3,0,10,0,0.007804
3,1,1,0,0.008067
3,1,2,0,0.010095
3,1,3,0,0.008232
3,1,4,0,0.009990
3,1,5,0,0.010328
3,1,6,0,0.009531
3,1,7,0,0.010943
3,1,8,0,0.008302
3,1,9,0,0.008242
3,1,10,0,0.011275
3,2,1,0,0.011927
3,2,2,0,0.013854
3,2,3,0,0.009991
3,2,4,0,0.010386
3,2,5,0,0.012784
3,2,6,0,0.013850
3,2,7,0,0.009456
3,2,8,0,0.011652
3,2,9,0,0.018645
3,2,10,0,0.012173
3,3,1,0,0.016446
3,3,2,0,0.019030
3,3,3,0,0.017621
3,3,4,0,0.030200
3,3,5,0,0.013451
3,3,6,0,0.013612
3,3,7,0,0.013713
3,3,8,0,0.009799
3,3,9,0,0.011810
3,3,10,0,0.010417
3,4,1,0,0.015306
3,4,2,0,0.019090
3,4,3,0,0.015870
3,4,4,0,0.022196
3,4,5,0,0.011294
3,4,6,0,0.010503
3,4,7,0,0.013881
3,4,8,0,0.022010
3,4,9,0,0.010674
3,4,10,0,0.023860
3,5,1,0,0.020347
3,5,2,0,0.024504
3,5,3,0,0.173849
3,5,4,0,0.021134
3,5,5,0,0.075554
3,5,6,0,0.046390
3,5,7,0,0.035929
3,5,8,0,0.015072
3,5,9,0,0.034834
3,5,10,0,0.023453
3,6,1,0,0.035759
3,6,2,0,0.029564
3,6,3,0,0.022835
3,6,4,0,0.041209
3,6,5,0,0.023527
3,6,6,0,0.040930
3,6,7,0,0.108784
3,6,8,0,0.026343
3,6,9,0,0.011257
3,6,10,0,0.021523
3,7,1,0,0.022995
3,7,2,0,0.051671
3,7,3,0,0.031338
3,7,4,0,0.092595
3,7,5,0,0.044838
3,7,6,0,0.074359
3,7,7,0,0.041952
3,7,8,0,0.024766
3,7,9,0,0.042799
3,7,10,0,0.029659
3,8,1,0,0.063005
3,8,2,0,0.347852
3,8,3,0,0.024749
3,8,4,0,0.045691
3,8,5,0,0.014906
3,8,6,0,0.035931
3,8,7,0,0.037213
3,8,8,0,0.054677
3,8,9,0,0.034108
3,8,10,0,0.185370
3,9,1,0,0.076411
3,9,2,0,0.025671
3,9,3,0,0.030084
3,9,4,0,0.071732
3,9,5,0,0.081226
3,9,6,0,0.050853
3,9,7,0,0.079435
3,9,8,0,0.242690
3,9,9,0,0.044862
3,9,10,0,0.054978
3,10,1,0,0.155090
3,10,2,0,0.425323
3,10,3,0,0.057857
3,10,4,0,0.398004
3,10,5,0,0.039919
3,10,6,0,0.073635
3,10,7,0,0.084035
3,10,8,0,0.051929
3,10,9,0,0.084199
3,10,10,0,0.056461
3,11,1,0,0.063648
3,11,2,0,0.403217
3,11,3,0,0.097205
3,11,4,0,0.158145
3,11,5,0,0.361941
3,11,6,0,0.039580
3,11,7,0,0.132123
3,11,8,0,0.537380
3,11,9,0,0.219829
3,11,10,0,0.260586
3,12,1,0,0.216005
3,12,2,0,0.196821
3,12,3,0,0.060212
3,12,4,0,0.150623
3,12,5,0,0.143863
3,12,6,0,0.133097
3,12,7,0,0.080379
3,12,8,0,0.175992
3,12,9,0,0.093434
3,12,10,0,0.154663
3,13,1,0,0.468089
3,13,2,0,0.101332
3,13,3,0,0.129807
3,13,4,0,0.453903
3,13,5,0,0.286729
3,13,6,0,0.206487
3,13,7,0,0.067932
3,13,8,0,0.058923
3,13,9,0,0.775609
3,13,10,0,0.059900
3,14,1,0,0.171110
3,14,2,0,0.564254
3,14,3,0,0.305004
3,14,4,0,0.299951
3,14,5,0,0.121003
3,14,6,0,0.479559
3,14,7,0,0.104748
3,14,8,0,0.120564
3,14,9,0,0.479182
3,14,10,0,0.719427
3,15,1,0,0.172935
3,15,2,0,0.121532
