preds time error
0 0.008165 0.00024554112577
1 0.0095005 0.00121072166266
2 0.0124718 0.00263889538338
3 0.0156099 0.00593234430802
4 0.0164684 0.00504824115025
5 0.0471066 0.0478843485823
6 0.0361731 0.0271499538753
7 0.0456972 0.0223524011228
8 0.0843502 0.104314834286
9 0.0757942 0.0619388462236
10 0.1426452 0.145404457458
11 0.2273654 0.163018365332
12 0.1405089 0.0503077497398
13 0.2608711 0.238003355881
14 0.3364802 0.214938487494
15 0.2047888 0.100645946173
16 0.4888161 0.286261944636
17 0.3972232 0.18118430152
18 0.5788043 0.281820598685
19 0.6866677 0.438709355472
20 0.8268761 0.352909050909
21 0.9266555 0.39462369641
