clauses,preds,trial,typed,time
3,0,1,1,0.20
3,0,2,1,0.16
3,0,3,1,0.14
3,0,4,1,0.13
3,0,5,1,0.15
3,0,6,1,0.13
3,0,7,1,0.14
3,0,8,1,0.13
3,0,9,1,0.13
3,0,10,1,0.13
3,1,1,1,0.13
3,1,2,1,0.13
3,1,3,1,0.15
3,1,4,1,0.15
3,1,5,1,0.14
3,1,6,1,0.15
3,1,7,1,0.15
3,1,8,1,0.15
3,1,9,1,0.13
3,1,10,1,0.14
3,2,1,1,0.13
3,2,2,1,0.14
3,2,3,1,0.14
3,2,4,1,0.14
3,2,5,1,0.14
3,2,6,1,0.15
3,2,7,1,0.14
3,2,8,1,0.13
3,2,9,1,0.78
3,2,10,1,0.24
3,3,1,1,0.15
3,3,2,1,0.13
3,3,3,1,0.14
3,3,4,1,0.13
3,3,5,1,0.14
3,3,6,1,0.15
3,3,7,1,1.14
3,3,8,1,0.18
3,3,9,1,0.17
3,3,10,1,0.17
3,4,1,1,0.15
3,4,2,1,1.22
3,4,3,1,6.71
3,4,4,1,0.25
3,4,5,1,0.16
3,4,6,1,0.17
3,4,7,1,1.06
3,4,8,1,0.20
3,4,9,1,0.17
3,4,10,1,0.84
3,5,1,1,0.53
3,5,2,1,0.22
3,5,3,1,0.15
3,5,4,1,0.19
3,5,5,1,0.16
3,5,6,1,1.44
3,5,7,1,2.87
3,5,8,1,0.21
3,5,9,1,0.14
3,5,10,1,0.18
3,6,1,1,1.19
3,6,2,1,0.20
3,6,3,1,0.16
3,6,4,1,1.02
3,6,5,1,0.21
3,6,6,1,0.22
3,6,7,1,0.22
3,6,8,1,0.16
3,6,9,1,0.60
3,6,10,1,0.21
3,7,1,1,0.15
3,7,2,1,0.15
3,7,3,1,0.15
3,7,4,1,0.16
3,7,5,1,0.27
3,7,6,1,0.24
3,7,7,1,0.15
3,7,8,1,2.71
3,7,9,1,5.41
3,7,10,1,7.33
3,8,1,1,0.61
3,8,2,1,1.12
3,8,3,1,0.23
3,8,4,1,0.50
3,8,5,1,0.26
3,8,6,1,0.25
3,8,7,1,0.18
3,8,8,1,0.19
3,8,9,1,0.55
3,8,10,1,1.09
3,9,1,1,2.90
3,9,2,1,0.45
3,9,3,1,4.01
3,9,4,1,11.63
3,9,5,1,0.21
3,9,6,1,1.69
3,9,7,1,1.30
3,9,8,1,4.71
3,9,9,1,2.16
3,9,10,1,0.84
3,10,1,1,0.31
3,10,2,1,0.28
3,10,3,1,0.25
3,10,4,1,0.24
3,10,5,1,0.21
3,10,6,1,0.32
3,10,7,1,2.04
3,10,8,1,0.35
3,10,9,1,0.49
3,10,10,1,14.83
3,11,1,1,3.58
3,11,2,1,0.30
3,11,3,1,0.55
3,11,4,1,0.32
3,11,5,1,6.22
3,11,6,1,0.27
3,11,7,1,0.24
3,11,8,1,3.14
3,11,9,1,0.26
3,11,10,1,0.22
3,12,1,1,0.27
3,12,2,1,1.59
3,12,3,1,0.53
3,12,4,1,2.16
3,12,5,1,8.53
3,12,6,1,2.98
3,12,7,1,0.76
3,12,8,1,5.02
3,12,9,1,0.39
3,12,10,1,0.37
3,13,1,1,3.40
3,13,2,1,0.33
3,13,3,1,0.25
3,13,4,1,0.78
3,13,5,1,12.82
3,13,6,1,0.29
3,13,7,1,13.28
3,13,8,1,8.31
3,13,9,1,0.54
3,13,10,1,7.56
3,14,1,1,8.55
3,14,2,1,0.41
3,14,3,1,16.41
3,14,4,1,2.00
3,14,5,1,10.25
3,14,6,1,0.28
3,14,7,1,0.24
3,14,8,1,0.43
3,14,9,1,0.33
3,14,10,1,0.57
3,15,1,1,6.44
3,15,2,1,6.06
3,15,3,1,0.52
3,15,4,1,0.33
3,15,5,1,9.43
3,15,6,1,0.26
3,15,7,1,16.03
3,15,8,1,8.14
3,15,9,1,15.41
3,15,10,1,0.46
3,16,1,1,7.34
3,16,2,1,1.70
3,16,3,1,7.29
3,16,4,1,15.68
3,16,5,1,9.38
3,16,6,1,20.83
3,16,7,1,0.50
3,16,8,1,0.97
3,16,9,1,0.29
3,16,10,1,0.58
3,17,1,1,0.41
3,17,2,1,12.20
3,17,3,1,2.08
3,17,4,1,14.04
3,17,5,1,0.35
3,17,6,1,0.92
3,17,7,1,3.21
3,17,8,1,18.86
3,17,9,1,18.96
3,17,10,1,8.41
3,18,1,1,11.30
3,18,2,1,20.10
3,18,3,1,10.82
3,18,4,1,21.27
3,18,5,1,10.74
3,18,6,1,20.07
3,18,7,1,18.78
3,18,8,1,9.50
3,18,9,1,19.68
3,18,10,1,8.50
3,19,1,1,2.72
3,19,2,1,2.76
3,19,3,1,8.38
3,19,4,1,8.11
3,19,5,1,11.87
3,19,6,1,21.28
3,19,7,1,12.29
3,19,8,1,19.55
3,19,9,1,3.20
3,19,10,1,11.21
3,20,1,1,10.50
3,20,2,1,11.57
3,20,3,1,2.73
3,20,4,1,2.27
3,20,5,1,22.63
3,20,6,1,11.71
3,20,7,1,9.98
3,20,8,1,2.80
3,20,9,1,14.11
3,20,10,1,10.32
