preds time error
0 0.144 0.022211108331943567
1 0.142 0.009189365834726815
2 0.213 0.20182775935050273
3 0.25 0.3131914572412358
4 1.093 2.016697244947238
5 0.609 0.8889000693741301
6 0.41900000000000004 0.3854420261927279
7 1.672 2.6379992418497773
8 0.49799999999999994 0.3556777567780514
9 2.9900000000000007 3.377934937864323
10 1.932 4.565181753714133
11 1.51 2.0897846779034435
12 2.2600000000000002 2.670409872826433
13 4.756 5.306606364816512
14 3.9470000000000005 5.740574980880497
15 6.308000000000001 6.060441494735438
16 6.456 7.168274548313562
17 7.944 7.576037076056174
18 15.075999999999999 5.259603280349827
19 10.137 6.551597006328558
20 9.862 6.20399656135731
