clauses,preds,trial,typed,time
3,0,1,0,0.17
3,0,2,0,0.16
3,0,3,0,0.17
3,0,4,0,0.15
3,0,5,0,0.16
3,0,6,0,0.15
3,0,7,0,0.16
3,0,8,0,0.15
3,0,9,0,0.13
3,0,10,0,0.16
3,1,1,0,0.14
3,1,2,0,0.14
3,1,3,0,0.16
3,1,4,0,0.16
3,1,5,0,0.14
3,1,6,0,0.15
3,1,7,0,0.17
3,1,8,0,0.16
3,1,9,0,0.15
3,1,10,0,0.15
3,2,1,0,0.14
3,2,2,0,0.16
3,2,3,0,0.16
3,2,4,0,0.15
3,2,5,0,0.15
3,2,6,0,0.17
3,2,7,0,0.16
3,2,8,0,0.16
3,2,9,0,3.89
3,2,10,0,0.15
3,3,1,0,0.16
3,3,2,0,0.16
3,3,3,0,0.17
3,3,4,0,0.16
3,3,5,0,0.16
3,3,6,0,0.16
3,3,7,0,5.22
3,3,8,0,0.15
3,3,9,0,0.22
3,3,10,0,0.20
3,4,1,0,0.17
3,4,2,0,5.68
3,4,3,0,24.40
3,4,4,0,0.17
3,4,5,0,0.17
3,4,6,0,0.23
3,4,7,0,5.04
3,4,8,0,0.18
3,4,9,0,0.21
3,4,10,0,7.37
3,5,1,0,1.33
3,5,2,0,0.21
3,5,3,0,0.17
3,5,4,0,0.32
3,5,5,0,0.16
3,5,6,0,7.35
3,5,7,0,10.05
3,5,8,0,0.21
3,5,9,0,0.18
3,5,10,0,0.20
3,6,1,0,5.66
3,6,2,0,0.19
3,6,3,0,0.19
3,6,4,0,5.19
3,6,5,0,0.22
3,6,6,0,0.32
3,6,7,0,0.18
3,6,8,0,0.18
3,6,9,0,10.59
3,6,10,0,0.20
3,7,1,0,0.19
3,7,2,0,0.20
3,7,3,0,0.20
3,7,4,0,0.20
3,7,5,0,0.56
3,7,6,0,0.24
3,7,7,0,0.18
3,7,8,0,16.41
3,7,9,0,19.30
3,7,10,0,65.59
3,8,1,0,1.11
3,8,2,0,5.66
3,8,3,0,0.25
3,8,4,0,1.51
3,8,5,0,0.28
3,8,6,0,0.31
3,8,7,0,0.21
3,8,8,0,0.31
3,8,9,0,3.29
3,8,10,0,2.89
3,9,1,0,10.75
3,9,2,0,0.66
3,9,3,0,27.43
3,9,4,0,30.46
3,9,5,0,0.18
3,9,6,0,10.22
3,9,7,0,5.90
3,9,8,0,27.19
3,9,9,0,6.01
3,9,10,0,22.40
3,10,1,0,0.34
3,10,2,0,0.37
3,10,3,0,0.22
3,10,4,0,0.41
3,10,5,0,0.23
3,10,6,0,0.54
3,10,7,0,8.74
3,10,8,0,0.46
3,10,9,0,0.88
3,10,10,0,40.77
3,11,1,0,18.92
3,11,2,0,0.28
3,11,3,0,8.25
3,11,4,0,0.47
3,11,5,0,34.13
3,11,6,0,0.27
3,11,7,0,0.35
3,11,8,0,17.68
3,11,9,0,0.21
3,11,10,0,0.30
3,12,1,0,0.43
3,12,2,0,37.24
3,12,3,0,7.54
3,12,4,0,8.86
3,12,5,0,49.59
3,12,6,0,23.09
3,12,7,0,1.90
3,12,8,0,14.84
3,12,9,0,1.11
3,12,10,0,0.55
3,13,1,0,7.52
3,13,2,0,0.34
3,13,3,0,0.27
3,13,4,0,5.20
3,13,5,0,63.15
3,13,6,0,0.27
3,13,7,0,77.49
3,13,8,0,55.93
3,13,9,0,3.98
3,13,10,0,37.40
3,14,1,0,38.65
3,14,2,0,0.53
3,14,3,0,105.85
3,14,4,0,20.49
3,14,5,0,49.40
3,14,6,0,0.24
3,14,7,0,0.31
3,14,8,0,0.97
3,14,9,0,0.31
3,14,10,0,0.99
3,15,1,0,28.88
3,15,2,0,35.95
3,15,3,0,1.31
3,15,4,0,0.57
3,15,5,0,46.68
3,15,6,0,0.47
3,15,7,0,70.55
3,15,8,0,19.98
3,15,9,0,54.68
3,15,10,0,0.62
3,16,1,0,61.43
3,16,2,0,13.66
3,16,3,0,64.38
3,16,4,0,40.02
3,16,5,0,21.39
3,16,6,0,121.91
3,16,7,0,0.60
3,16,8,0,6.08
3,16,9,0,0.60
3,16,10,0,1.30
3,17,1,0,1.09
3,17,2,0,57.02
3,17,3,0,8.86
3,17,4,0,60.75
3,17,5,0,0.41
3,17,6,0,6.00
3,17,7,0,7.09
3,17,8,0,48.29
3,17,9,0,75.16
3,17,10,0,66.75
3,18,1,0,52.17
3,18,2,0,87.90
3,18,3,0,21.70
3,18,4,0,86.38
3,18,5,0,33.70
3,18,6,0,82.08
3,18,7,0,43.94
3,18,8,0,73.59
3,18,9,0,48.34
3,18,10,0,40.95
3,19,1,0,25.55
3,19,2,0,8.81
3,19,3,0,22.00
3,19,4,0,21.49
3,19,5,0,84.59
3,19,6,0,80.19
3,19,7,0,54.94
3,19,8,0,69.87
3,19,9,0,10.90
3,19,10,0,72.88
3,20,1,0,79.40
3,20,2,0,56.14
3,20,3,0,30.97
3,20,4,0,23.74
3,20,5,0,88.57
3,20,6,0,80.50
3,20,7,0,72.40
3,20,8,0,8.52
3,20,9,0,53.33
3,20,10,0,45.90
