preds time error
0 0.15599999999999997 0.011737877907772677
1 0.15199999999999997 0.010327955589886452
2 0.5290000000000001 1.1809642952548
3 0.6759999999999999 1.5967480842150537
4 4.362 7.581311525352618
5 2.018 3.596111480165455
6 2.292 3.634937872004601
7 10.307 20.768682111936393
8 1.5820000000000003 1.8279910041111012
9 14.120000000000001 11.63776228968057
10 5.296000000000001 12.736229339085325
11 8.086 11.786352937001148
12 14.515000000000004 17.10486561706282
13 25.154999999999998 30.35255700376274
14 21.774000000000004 34.67247714125876
15 25.968999999999994 25.67021899659863
16 33.137 39.56004467192175
17 33.141999999999996 30.84109336583254
18 57.075 23.658785659642145
19 45.122 30.244777253455034
20 53.947 26.804112889214927
