clauses,preds,trial,typed,time
3,0,1,1,0.012140
3,0,2,1,0.011114
3,0,3,1,0.015431
3,0,4,1,0.012437
3,0,5,1,0.013649
3,0,6,1,0.009566
3,0,7,1,0.008856
3,0,8,1,0.084477
3,0,9,1,0.009595
3,0,10,1,0.083260
3,1,1,1,0.012623
3,1,2,1,0.079031
3,1,3,1,0.011843
3,1,4,1,0.008838
3,1,5,1,0.014810
3,1,6,1,0.009439
3,1,7,1,0.015337
3,1,8,1,0.014050
3,1,9,1,0.030591
3,1,10,1,0.010848
3,2,1,1,0.089911
3,2,2,1,0.014984
3,2,3,1,0.010611
3,2,4,1,0.013156
3,2,5,1,0.010145
3,2,6,1,0.010087
3,2,7,1,0.012019
3,2,8,1,0.077042
3,2,9,1,0.011841
3,2,10,1,0.009688
3,3,1,1,0.011848
3,3,2,1,0.010981
3,3,3,1,0.016864
3,3,4,1,0.019006
3,3,5,1,0.010850
3,3,6,1,0.014761
3,3,7,1,0.009959
3,3,8,1,0.011904
3,3,9,1,0.033947
3,3,10,1,0.015976
3,4,1,1,0.012288
3,4,2,1,0.036777
3,4,3,1,0.028343
3,4,4,1,0.012856
3,4,5,1,0.021754
3,4,6,1,0.010557
3,4,7,1,0.032492
3,4,8,1,0.016412
3,4,9,1,0.012541
3,4,10,1,0.010960
3,5,1,1,0.011036
3,5,2,1,0.081313
3,5,3,1,0.010692
3,5,4,1,0.020301
3,5,5,1,0.010181
3,5,6,1,0.010475
3,5,7,1,0.096791
3,5,8,1,0.011577
3,5,9,1,0.032097
3,5,10,1,0.009698
3,6,1,1,0.078195
3,6,2,1,0.020600
3,6,3,1,0.016950
3,6,4,1,0.018984
3,6,5,1,0.056001
3,6,6,1,0.029499
3,6,7,1,0.029813
3,6,8,1,0.098727
3,6,9,1,0.015928
3,6,10,1,0.018967
3,7,1,1,0.014911
3,7,2,1,0.015835
3,7,3,1,0.011665
3,7,4,1,0.012728
3,7,5,1,0.015026
3,7,6,1,0.016433
3,7,7,1,0.017353
3,7,8,1,0.011515
3,7,9,1,0.011297
3,7,10,1,0.018466
3,8,1,1,0.012076
3,8,2,1,0.028046
3,8,3,1,0.011034
3,8,4,1,0.016952
3,8,5,1,0.098622
3,8,6,1,0.029273
3,8,7,1,0.043846
3,8,8,1,0.036740
3,8,9,1,0.020339
3,8,10,1,0.014544
3,9,1,1,0.012095
3,9,2,1,0.017534
3,9,3,1,0.010345
3,9,4,1,0.013938
3,9,5,1,0.016573
3,9,6,1,0.014012
3,9,7,1,0.035688
3,9,8,1,0.096703
3,9,9,1,0.093220
3,9,10,1,0.015497
3,10,1,1,0.009763
3,10,2,1,0.015438
3,10,3,1,0.019975
3,10,4,1,0.017877
3,10,5,1,0.013458
3,10,6,1,0.035873
3,10,7,1,0.024040
3,10,8,1,0.014553
3,10,9,1,0.044540
3,10,10,1,0.033542
3,11,1,1,0.091058
3,11,2,1,0.032805
3,11,3,1,0.017451
3,11,4,1,0.016934
3,11,5,1,0.016485
3,11,6,1,0.038297
3,11,7,1,0.025578
3,11,8,1,0.038387
3,11,9,1,0.042286
3,11,10,1,0.018031
3,12,1,1,0.099105
3,12,2,1,0.041168
3,12,3,1,0.017934
3,12,4,1,0.093302
3,12,5,1,0.012869
3,12,6,1,0.020976
3,12,7,1,0.023517
3,12,8,1,0.011691
3,12,9,1,0.033391
3,12,10,1,0.016594
3,13,1,1,0.021311
3,13,2,1,0.018254
3,13,3,1,0.041481
3,13,4,1,0.017764
3,13,5,1,0.114875
3,13,6,1,0.018800
3,13,7,1,0.018875
3,13,8,1,0.013230
3,13,9,1,0.120125
3,13,10,1,0.020032
3,14,1,1,0.039083
3,14,2,1,0.051032
3,14,3,1,0.029760
3,14,4,1,0.106603
3,14,5,1,0.015950
3,14,6,1,0.026746
3,14,7,1,9.334078
3,14,8,1,0.020567
3,14,9,1,0.018878
3,14,10,1,0.029169
3,15,1,1,0.019841
3,15,2,1,0.026142
3,15,3,1,0.037527
3,15,4,1,0.016371
3,15,5,1,0.020911
3,15,6,1,0.023911
3,15,7,1,0.020823
3,15,8,1,0.039631
3,15,9,1,0.018098
3,15,10,1,0.021489
3,16,1,1,0.032555
3,16,2,1,0.057573
3,16,3,1,0.053594
3,16,4,1,0.023830
3,16,5,1,0.118956
3,16,6,1,0.112284
3,16,7,1,0.106600
3,16,8,1,0.050328
3,16,9,1,0.017287
3,16,10,1,0.015361
3,17,1,1,0.023166
3,17,2,1,0.023882
3,17,3,1,0.028963
3,17,4,1,0.039255
3,17,5,1,0.123048
3,17,6,1,0.050391
3,17,7,1,0.116937
3,17,8,1,0.123339
3,17,9,1,0.036928
3,17,10,1,0.038056
3,18,1,1,0.062285
3,18,2,1,0.373922
3,18,3,1,0.025455
3,18,4,1,0.031349
3,18,5,1,0.031783
3,18,6,1,0.263662
3,18,7,1,0.022229
3,18,8,1,0.016616
3,18,9,1,0.027515
3,18,10,1,0.019577
3,19,1,1,0.030496
3,19,2,1,0.022852
3,19,3,1,0.016968
3,19,4,1,0.049846
3,19,5,1,0.045581
3,19,6,1,0.022876
3,19,7,1,0.024547
3,19,8,1,0.047725
3,19,9,1,0.016685
3,19,10,1,0.129208
3,20,1,1,0.116485
3,20,2,1,0.020960
3,20,3,1,0.458484
3,20,4,1,0.020613
3,20,5,1,0.053021
3,20,6,1,0.021029
3,20,7,1,0.043555
3,20,8,1,0.040135
3,20,9,1,0.025400
3,20,10,1,1.291301
