preds time error
0 0.0260525 0.030538236888821492
1 0.020741 0.021386029832579957
2 0.0259484 0.030513473440068696
3 0.015609599999999998 0.007103299533784753
4 0.019498 0.009761567906847752
5 0.0294161 0.03239881504503247
6 0.0383664 0.029292192862793852
7 0.0145229 0.002585740274402413
8 0.031147199999999996 0.02607842075058312
9 0.0325605 0.03363097924120293
10 0.0229059 0.011411553039208409
11 0.0337312 0.022510542358834647
12 0.0370547 0.0324869907503159
13 0.0404747 0.04130360179626523
14 0.9671866 2.939945095537224
15 0.0244744 0.007929735307338096
16 0.0588368 0.03998120199071336
17 0.060396499999999985 0.04267216389911968
18 0.0874393 0.12530400883633194
19 0.0406784 0.03355211643332735
20 0.20909830000000001 0.40308315854921445
