clauses,preds,trial,typed,time
3,0,1,0,0.012243
3,0,2,0,0.011232
3,0,3,0,0.015723
3,0,4,0,0.011710
3,0,5,0,0.014056
3,0,6,0,0.009670
3,0,7,0,0.009985
3,0,8,0,0.084494
3,0,9,0,0.009655
3,0,10,0,0.080998
3,1,1,0,0.012915
3,1,2,0,0.090562
3,1,3,0,0.011515
3,1,4,0,0.008694
3,1,5,0,0.014706
3,1,6,0,0.009728
3,1,7,0,0.016660
3,1,8,0,0.017484
3,1,9,0,0.038112
3,1,10,0,0.011033
3,2,1,0,0.099955
3,2,2,0,0.016620
3,2,3,0,0.011147
3,2,4,0,0.014784
3,2,5,0,0.013624
3,2,6,0,0.012909
3,2,7,0,0.011803
3,2,8,0,0.083877
3,2,9,0,0.012399
3,2,10,0,0.010096
3,3,1,0,0.015820
3,3,2,0,0.014143
3,3,3,0,0.022424
3,3,4,0,0.021879
3,3,5,0,0.013425
3,3,6,0,0.015716
3,3,7,0,0.016160
3,3,8,0,0.023984
3,3,9,0,0.035540
3,3,10,0,0.020315
3,4,1,0,0.013609
3,4,2,0,0.048686
3,4,3,0,0.043846
3,4,4,0,0.015958
3,4,5,0,0.024048
3,4,6,0,0.016657
3,4,7,0,0.038226
3,4,8,0,0.022822
3,4,9,0,0.017831
3,4,10,0,0.013849
3,5,1,0,0.015729
3,5,2,0,0.102328
3,5,3,0,0.015639
3,5,4,0,0.043187
3,5,5,0,0.017903
3,5,6,0,0.016636
3,5,7,0,0.118292
3,5,8,0,0.014237
3,5,9,0,0.042876
3,5,10,0,0.023165
3,6,1,0,0.120451
3,6,2,0,0.039686
3,6,3,0,0.033222
3,6,4,0,0.038832
3,6,5,0,0.072103
3,6,6,0,0.068079
3,6,7,0,0.049053
3,6,8,0,0.130341
3,6,9,0,0.025636
3,6,10,0,0.028672
3,7,1,0,0.029778
3,7,2,0,0.029727
3,7,3,0,0.022150
3,7,4,0,0.025440
3,7,5,0,0.020657
3,7,6,0,0.024447
3,7,7,0,0.037636
3,7,8,0,0.016472
3,7,9,0,0.032989
3,7,10,0,0.028242
3,8,1,0,0.016308
3,8,2,0,0.058471
3,8,3,0,0.027833
3,8,4,0,0.025155
3,8,5,0,0.144789
3,8,6,0,0.040352
3,8,7,0,0.066420
3,8,8,0,0.086588
3,8,9,0,0.042939
3,8,10,0,0.043169
3,9,1,0,0.028739
3,9,2,0,0.025439
3,9,3,0,0.030677
3,9,4,0,0.045735
3,9,5,0,0.032730
3,9,6,0,0.026680
3,9,7,0,0.044260
3,9,8,0,0.146053
3,9,9,0,0.159381
3,9,10,0,0.062682
3,10,1,0,0.034847
3,10,2,0,0.055735
3,10,3,0,0.040731
3,10,4,0,0.035075
3,10,5,0,0.041598
3,10,6,0,0.095285
3,10,7,0,0.081551
3,10,8,0,0.035541
3,10,9,0,0.088405
3,10,10,0,0.051661
3,11,1,0,0.169424
3,11,2,0,0.159407
3,11,3,0,0.043313
3,11,4,0,0.072068
3,11,5,0,0.067387
3,11,6,0,0.067450
3,11,7,0,0.051244
3,11,8,0,0.078948
3,11,9,0,0.105141
3,11,10,0,0.036817
3,12,1,0,0.205391
3,12,2,0,0.130437
3,12,3,0,0.074021
3,12,4,0,0.168051
3,12,5,0,0.048623
3,12,6,0,0.058251
3,12,7,0,0.056393
3,12,8,0,0.040739
3,12,9,0,0.070172
3,12,10,0,0.072304
3,13,1,0,0.052583
3,13,2,0,0.093343
3,13,3,0,0.091334
3,13,4,0,0.061491
3,13,5,0,0.312315
3,13,6,0,0.044636
3,13,7,0,0.087211
3,13,8,0,0.055582
3,13,9,0,0.370451
3,13,10,0,0.103727
3,14,1,0,0.118703
3,14,2,0,0.208305
3,14,3,0,0.210024
3,14,4,0,0.332952
3,14,5,0,0.077718
3,14,6,0,0.175523
3,14,7,0,8.828069
3,14,8,0,0.058145
3,14,9,0,0.072800
3,14,10,0,0.137986
3,15,1,0,0.120271
3,15,2,0,0.153445
3,15,3,0,0.102030
3,15,4,0,0.106767
3,15,5,0,0.193665
3,15,6,0,0.114058
3,15,7,0,0.077780
3,15,8,0,0.144328
3,15,9,0,0.120148
3,15,10,0,0.105543
3,16,1,0,0.209329
3,16,2,0,0.214134
3,16,3,0,0.221695
3,16,4,0,0.142433
3,16,5,0,0.264858
3,16,6,0,0.239830
3,16,7,0,0.340836
3,16,8,0,0.161469
3,16,9,0,0.159119
3,16,10,0,0.086600
3,17,1,0,0.122716
3,17,2,0,0.115188
3,17,3,0,0.188664
3,17,4,0,0.138144
3,17,5,0,0.468948
3,17,6,0,0.302140
3,17,7,0,0.336177
3,17,8,0,0.472757
3,17,9,0,0.257636
3,17,10,0,0.266301
3,18,1,0,0.377579
3,18,2,0,0.818481
3,18,3,0,0.209573
3,18,4,0,0.255791
3,18,5,0,0.226418
3,18,6,0,0.605603
3,18,7,0,0.208696
3,18,8,0,0.151143
3,18,9,0,0.175998
3,18,10,0,0.203489
3,19,1,0,0.179974
3,19,2,0,0.216057
3,19,3,0,0.162951
3,19,4,0,0.289634
3,19,5,0,0.300768
3,19,6,0,0.162158
3,19,7,0,0.161613
3,19,8,0,0.337536
3,19,9,0,0.157864
3,19,10,0,0.493878
3,20,1,0,0.466353
3,20,2,0,0.209301
3,20,3,0,0.981193
3,20,4,0,0.223121
3,20,5,0,0.345675
3,20,6,0,0.203723
3,20,7,0,0.335294
3,20,8,0,0.330478
3,20,9,0,0.256916
3,20,10,0,2.233817
