clauses,preds,trial,typed,time
3,0,1,1,0.337469
3,0,2,1,0.010394
3,0,3,1,0.010530
3,0,4,1,0.016224
3,0,5,1,0.009739
3,0,6,1,0.348396
3,0,7,1,0.013711
3,0,8,1,0.016661
3,0,9,1,0.008159
3,0,10,1,0.352138
3,1,1,1,0.014924
3,1,2,1,0.017432
3,1,3,1,0.041734
3,1,4,1,1.491576
3,1,5,1,0.009040
3,1,6,1,0.008541
3,1,7,1,0.010732
3,1,8,1,0.015098
3,1,9,1,0.085615
3,1,10,1,0.300741
3,2,1,1,0.018702
3,2,2,1,0.009871
3,2,3,1,0.016804
3,2,4,1,0.008772
3,2,5,1,0.010335
3,2,6,1,0.014895
3,2,7,1,0.018807
3,2,8,1,0.008751
3,2,9,1,0.027521
3,2,10,1,0.014431
3,3,1,1,0.106496
3,3,2,1,0.030204
3,3,3,1,0.013303
3,3,4,1,0.031086
3,3,5,1,0.014624
3,3,6,1,0.015117
3,3,7,1,0.287294
3,3,8,1,0.013040
3,3,9,1,0.017651
3,3,10,1,0.011923
3,4,1,1,0.036852
3,4,2,1,0.011830
3,4,3,1,0.011767
3,4,4,1,0.009360
3,4,5,1,0.019506
3,4,6,1,0.012924
3,4,7,1,0.010060
3,4,8,1,0.020027
3,4,9,1,0.015463
3,4,10,1,0.010340
3,5,1,1,0.024981
3,5,2,1,0.017214
3,5,3,1,0.088942
3,5,4,1,0.030267
3,5,5,1,0.094970
3,5,6,1,0.010764
3,5,7,1,0.016080
3,5,8,1,0.021449
3,5,9,1,0.024173
3,5,10,1,0.022499
3,6,1,1,0.049607
3,6,2,1,0.013694
3,6,3,1,0.010403
3,6,4,1,0.017437
3,6,5,1,0.016187
3,6,6,1,0.349263
3,6,7,1,0.020030
3,6,8,1,0.357932
3,6,9,1,0.025150
3,6,10,1,0.047033
3,7,1,1,0.033427
3,7,2,1,0.602028
3,7,3,1,0.029402
3,7,4,1,0.018177
3,7,5,1,0.011037
3,7,6,1,0.036090
3,7,7,1,0.019078
3,7,8,1,0.018120
3,7,9,1,0.012326
3,7,10,1,0.048178
3,8,1,1,0.098353
3,8,2,1,0.036200
3,8,3,1,0.045587
3,8,4,1,0.024202
3,8,5,1,0.689220
3,8,6,1,0.030917
3,8,7,1,0.015085
3,8,8,1,0.129744
3,8,9,1,0.014209
3,8,10,1,0.068413
3,9,1,1,0.135609
3,9,2,1,0.023881
3,9,3,1,0.014717
3,9,4,1,1.193674
3,9,5,1,0.016140
3,9,6,1,0.012824
3,9,7,1,0.333233
3,9,8,1,0.128942
3,9,9,1,0.042849
3,9,10,1,0.015808
3,10,1,1,0.025753
3,10,2,1,0.025424
3,10,3,1,0.026775
3,10,4,1,0.089584
3,10,5,1,0.126696
3,10,6,1,0.030417
3,10,7,1,0.016900
3,10,8,1,0.014403
3,10,9,1,0.101189
3,10,10,1,0.026926
3,11,1,1,0.021404
3,11,2,1,0.016345
3,11,3,1,0.098558
3,11,4,1,0.028571
3,11,5,1,0.021515
3,11,6,1,0.021284
3,11,7,1,0.401608
3,11,8,1,0.063694
3,11,9,1,0.014555
3,11,10,1,0.040431
3,12,1,1,0.026707
3,12,2,1,0.359920
3,12,3,1,0.019577
3,12,4,1,0.017222
3,12,5,1,0.021498
3,12,6,1,0.140532
3,12,7,1,0.021482
3,12,8,1,0.021688
3,12,9,1,0.039726
3,12,10,1,0.015747
3,13,1,1,0.024799
3,13,2,1,0.127712
3,13,3,1,0.019518
3,13,4,1,0.017037
3,13,5,1,0.022211
3,13,6,1,0.024322
3,13,7,1,0.302435
3,13,8,1,0.038118
3,13,9,1,0.024133
3,13,10,1,0.084041
3,14,1,1,0.055591
3,14,2,1,0.151467
3,14,3,1,0.028903
3,14,4,1,0.111729
3,14,5,1,0.016527
3,14,6,1,0.071667
3,14,7,1,0.419719
3,14,8,1,0.413606
3,14,9,1,0.027127
3,14,10,1,0.020654
3,15,1,1,0.016677
3,15,2,1,0.031677
3,15,3,1,0.061676
3,15,4,1,0.039536
3,15,5,1,0.033330
3,15,6,1,0.071013
3,15,7,1,0.169363
3,15,8,1,0.014057
3,15,9,1,0.133114
3,15,10,1,0.036163
3,16,1,1,0.034083
3,16,2,1,0.036614
3,16,3,1,0.028731
3,16,4,1,0.037139
3,16,5,1,0.050002
3,16,6,1,0.065271
3,16,7,1,0.122943
3,16,8,1,0.028456
3,16,9,1,0.045468
3,16,10,1,0.022314
3,17,1,1,0.039952
3,17,2,1,0.037695
3,17,3,1,0.065859
3,17,4,1,0.129757
3,17,5,1,0.076756
3,17,6,1,0.030432
3,17,7,1,0.366078
3,17,8,1,0.042712
3,17,9,1,0.065275
3,17,10,1,0.041509
3,18,1,1,0.022204
3,18,2,1,0.063720
3,18,3,1,0.419985
3,18,4,1,0.050589
3,18,5,1,0.032032
3,18,6,1,0.124306
3,18,7,1,0.041984
3,18,8,1,0.036535
3,18,9,1,0.031915
3,18,10,1,0.141291
3,19,1,1,0.038991
3,19,2,1,0.039012
3,19,3,1,0.044271
3,19,4,1,0.042397
3,19,5,1,0.095440
3,19,6,1,0.033259
3,19,7,1,0.069563
3,19,8,1,0.040991
3,19,9,1,0.059295
3,19,10,1,0.154321
3,20,1,1,0.038327
3,20,2,1,0.045490
3,20,3,1,0.048900
3,20,4,1,0.041451
3,20,5,1,0.036266
3,20,6,1,0.047482
3,20,7,1,0.060712
3,20,8,1,0.046836
3,20,9,1,0.059273
3,20,10,1,0.165455
