preds time error
0 0.11234210000000003 0.16130300253901042
1 0.19954329999999998 0.4627412137587272
2 0.0148889 0.005909936217929936
3 0.054073800000000005 0.08676994820507335
4 0.015812899999999998 0.008296121844305056
5 0.035133899999999996 0.03045499967146427
6 0.0906736 0.1392246144203276
7 0.08278630000000001 0.1828186415495179
8 0.11519299999999999 0.20517655210195057
9 0.19176769999999996 0.36613096619593194
10 0.048406700000000004 0.04089832151962012
11 0.0727965 0.11849533347140723
12 0.0684099 0.10909005355561371
13 0.0684326 0.08970100973939293
14 0.13169899999999998 0.15624440358688763
15 0.060660599999999995 0.051546909227744526
16 0.0471021 0.029385210892745203
17 0.0896025 0.10140354590036124
18 0.0964561 0.12065530238240213
19 0.061753999999999996 0.03760790684003683
20 0.059019199999999994 0.038228844865275925
