clauses,preds,trial,typed,time
3,0,1,0,0.344376
3,0,2,0,0.009911
3,0,3,0,0.010318
3,0,4,0,0.015904
3,0,5,0,0.009774
3,0,6,0,0.354567
3,0,7,0,0.013867
3,0,8,0,0.016066
3,0,9,0,0.007863
3,0,10,0,0.352009
3,1,1,0,0.014684
3,1,2,0,0.016982
3,1,3,0,0.042103
3,1,4,0,1.545993
3,1,5,0,0.008786
3,1,6,0,0.008508
3,1,7,0,0.013372
3,1,8,0,0.015772
3,1,9,0,0.094749
3,1,10,0,0.322185
3,2,1,0,0.018784
3,2,2,0,0.009984
3,2,3,0,0.019220
3,2,4,0,0.008931
3,2,5,0,0.010072
3,2,6,0,0.016616
3,2,7,0,0.018737
3,2,8,0,0.009064
3,2,9,0,0.028245
3,2,10,0,0.015991
3,3,1,0,0.128704
3,3,2,0,0.033984
3,3,3,0,0.013936
3,3,4,0,0.049409
3,3,5,0,0.015761
3,3,6,0,0.014712
3,3,7,0,0.294121
3,3,8,0,0.014585
3,3,9,0,0.018494
3,3,10,0,0.012492
3,4,1,0,0.041987
3,4,2,0,0.012725
3,4,3,0,0.018128
3,4,4,0,0.010121
3,4,5,0,0.019591
3,4,6,0,0.014660
3,4,7,0,0.012889
3,4,8,0,0.019968
3,4,9,0,0.016016
3,4,10,0,0.012409
3,5,1,0,0.028903
3,5,2,0,0.020177
3,5,3,0,0.104622
3,5,4,0,0.035469
3,5,5,0,0.119064
3,5,6,0,0.011050
3,5,7,0,0.018296
3,5,8,0,0.027337
3,5,9,0,0.027542
3,5,10,0,0.031480
3,6,1,0,0.067527
3,6,2,0,0.018320
3,6,3,0,0.023108
3,6,4,0,0.032999
3,6,5,0,0.025635
3,6,6,0,0.366162
3,6,7,0,0.029806
3,6,8,0,0.428056
3,6,9,0,0.033520
3,6,10,0,0.065284
3,7,1,0,0.047877
3,7,2,0,0.714187
3,7,3,0,0.038304
3,7,4,0,0.020762
3,7,5,0,0.015289
3,7,6,0,0.077769
3,7,7,0,0.026163
3,7,8,0,0.028236
3,7,9,0,0.019538
3,7,10,0,0.058897
3,8,1,0,0.122306
3,8,2,0,0.067089
3,8,3,0,0.060285
3,8,4,0,0.055653
3,8,5,0,0.745888
3,8,6,0,0.060586
3,8,7,0,0.029103
3,8,8,0,0.167455
3,8,9,0,0.023204
3,8,10,0,0.137989
3,9,1,0,0.152417
3,9,2,0,0.057989
3,9,3,0,0.017893
3,9,4,0,1.384236
3,9,5,0,0.027104
3,9,6,0,0.029081
3,9,7,0,0.395843
3,9,8,0,0.167235
3,9,9,0,0.059645
3,9,10,0,0.035500
3,10,1,0,0.036370
3,10,2,0,0.048047
3,10,3,0,0.063610
3,10,4,0,0.144166
3,10,5,0,0.178700
3,10,6,0,0.071498
3,10,7,0,0.034816
3,10,8,0,0.037345
3,10,9,0,0.169403
3,10,10,0,0.045724
3,11,1,0,0.047834
3,11,2,0,0.141854
3,11,3,0,0.138746
3,11,4,0,0.054773
3,11,5,0,0.049346
3,11,6,0,0.042166
3,11,7,0,0.477893
3,11,8,0,0.096475
3,11,9,0,0.018252
3,11,10,0,0.100421
3,12,1,0,0.051939
3,12,2,0,0.533870
3,12,3,0,0.061252
3,12,4,0,0.089310
3,12,5,0,0.108783
3,12,6,0,0.207881
3,12,7,0,0.046349
3,12,8,0,0.068077
3,12,9,0,0.117991
3,12,10,0,0.029946
3,13,1,0,0.065314
3,13,2,0,0.252106
3,13,3,0,0.033209
3,13,4,0,0.058849
3,13,5,0,0.070701
3,13,6,0,0.068664
3,13,7,0,0.315084
3,13,8,0,0.185423
3,13,9,0,0.067053
3,13,10,0,0.155137
3,14,1,0,0.162547
3,14,2,0,0.336517
3,14,3,0,0.093684
3,14,4,0,0.189730
3,14,5,0,0.076661
3,14,6,0,0.192033
3,14,7,0,0.560629
3,14,8,0,0.624802
3,14,9,0,0.111857
3,14,10,0,0.091407
3,15,1,0,0.065956
3,15,2,0,0.077559
3,15,3,0,0.179128
3,15,4,0,0.132338
3,15,5,0,0.092699
3,15,6,0,0.258190
3,15,7,0,0.343038
3,15,8,0,0.056757
3,15,9,0,0.225972
3,15,10,0,0.189521
3,16,1,0,0.100991
3,16,2,0,0.106807
3,16,3,0,0.157534
3,16,4,0,0.167058
3,16,5,0,0.218100
3,16,6,0,0.182176
3,16,7,0,0.245833
3,16,8,0,0.095360
3,16,9,0,0.166558
3,16,10,0,0.139125
3,17,1,0,0.209741
3,17,2,0,0.189584
3,17,3,0,0.207607
3,17,4,0,0.404881
3,17,5,0,0.332721
3,17,6,0,0.080994
3,17,7,0,0.755616
3,17,8,0,0.231215
3,17,9,0,0.332418
3,17,10,0,0.267166
3,18,1,0,0.154675
3,18,2,0,0.219610
3,18,3,0,0.975800
3,18,4,0,0.239702
3,18,5,0,0.163742
3,18,6,0,0.436401
3,18,7,0,0.269250
3,18,8,0,0.220883
3,18,9,0,0.157416
3,18,10,0,0.510885
3,19,1,0,0.266944
3,19,2,0,0.151911
3,19,3,0,0.331501
3,19,4,0,0.272048
3,19,5,0,0.413538
3,19,6,0,0.225973
3,19,7,0,0.351983
3,19,8,0,0.156870
3,19,9,0,0.323494
3,19,10,0,0.505407
3,20,1,0,0.259013
3,20,2,0,0.291925
3,20,3,0,0.314536
3,20,4,0,0.278848
3,20,5,0,0.256075
3,20,6,0,0.255137
3,20,7,0,0.544803
3,20,8,0,0.303236
3,20,9,0,0.374035
3,20,10,0,0.502729
