preds time error
0 0.1134655 0.1634843248328584
1 0.20831339999999998 0.4797897680925122
2 0.0155644 0.006177419547567307
3 0.05961979999999999 0.08974822979349881
4 0.0178494 0.009091802036266885
5 0.042394 0.037422128284389886
6 0.10904169999999999 0.15342576913141634
7 0.1047022 0.21505610728097085
8 0.1469558 0.21569481551632672
9 0.2326943 0.4206627165564804
10 0.0829679 0.05779768539281367
11 0.11677600000000002 0.13358912890235078
12 0.13153979999999998 0.1502092349437943
13 0.12715400000000002 0.09582657078400657
14 0.2439867 0.19928971385567743
15 0.1621158 0.0944478776701732
16 0.1579542 0.04968499922019835
17 0.3011943 0.18358806940784578
18 0.33483640000000003 0.25494375560860916
19 0.29996690000000004 0.11010095087534694
20 0.3380337 0.10456232718766352
