clauses,preds,trial,typed,time
3,0,1,1,0.032238
3,0,2,1,0.113379
3,0,3,1,0.030222
3,0,4,1,0.033536
3,0,5,1,0.134130
3,0,6,1,0.028698
3,0,7,1,0.038752
3,0,8,1,0.126070
3,0,9,1,0.130854
3,0,10,1,0.121042
3,1,1,1,0.113049
3,1,2,1,0.118111
3,1,3,1,0.114202
3,1,4,1,0.144359
3,1,5,1,0.146705
3,1,6,1,0.155792
3,1,7,1,0.030998
3,1,8,1,0.073397
3,1,9,1,0.034069
3,1,10,1,0.031798
3,2,1,1,0.012893
3,2,2,1,0.290151
3,2,3,1,0.032433
3,2,4,1,1.167273
3,2,5,1,2.431503
3,2,6,1,0.347867
3,2,7,1,0.155167
3,2,8,1,2.969552
3,2,9,1,1.058058
3,2,10,1,0.293983
3,3,1,1,0.213423
3,3,2,1,0.130135
3,3,3,1,0.157832
3,3,4,1,0.227551
3,3,5,1,0.132107
3,3,6,1,0.216561
3,3,7,1,0.144172
3,3,8,1,0.116153
3,3,9,1,0.503815
3,3,10,1,0.005333
3,4,1,1,0.477591
3,4,2,1,0.120603
3,4,3,1,0.084940
3,4,4,1,1.699623
3,4,5,1,0.210842
3,4,6,1,0.166363
3,4,7,1,0.046085
3,4,8,1,0.129433
3,4,9,1,0.112975
3,4,10,1,0.952053
3,5,1,1,0.141371
3,5,2,1,0.348242
3,5,3,1,0.005318
3,5,4,1,0.222263
3,5,5,1,0.183534
3,5,6,1,0.303067
3,5,7,1,0.147953
3,5,8,1,0.306773
3,5,9,1,0.510177
3,5,10,1,0.064622
3,6,1,1,0.180568
3,6,2,1,0.049351
3,6,3,1,2.285468
3,6,4,1,0.091862
3,6,5,1,0.005372
3,6,6,1,0.414024
3,6,7,1,0.005722
3,6,8,1,0.951115
3,6,9,1,0.271760
3,6,10,1,0.026089
3,7,1,1,0.128149
3,7,2,1,3.256204
3,7,3,1,0.155762
3,7,4,1,0.235377
3,7,5,1,0.016370
3,7,6,1,0.350873
3,7,7,1,0.056688
3,7,8,1,0.174454
3,7,9,1,0.079567
3,7,10,1,0.038090
3,8,1,1,7.364276
3,8,2,1,0.176690
3,8,3,1,0.231610
3,8,4,1,0.005511
3,8,5,1,0.080164
3,8,6,1,0.633831
3,8,7,1,3.714196
3,8,8,1,0.194038
3,8,9,1,0.005317
3,8,10,1,0.221384
3,9,1,1,0.005622
3,9,2,1,0.109157
3,9,3,1,0.121091
3,9,4,1,1.247068
3,9,5,1,0.474553
3,9,6,1,0.599300
3,9,7,1,2.785493
3,9,8,1,0.259998
3,9,9,1,0.090518
3,9,10,1,2.049664
3,10,1,1,0.005789
3,10,2,1,0.413044
3,10,3,1,0.275059
3,10,4,1,0.018538
3,10,5,1,0.352202
3,10,6,1,0.159281
3,10,7,1,2.156958
3,10,8,1,0.009996
3,10,9,1,0.033184
3,10,10,1,0.250092
3,11,1,1,0.287252
3,11,2,1,1.046106
3,11,3,1,0.681183
3,11,4,1,0.030031
3,11,5,1,0.257404
3,11,6,1,0.065866
3,11,7,1,0.402298
3,11,8,1,0.293960
3,11,9,1,0.322157
3,11,10,1,0.268022
3,12,1,1,12.359393
3,12,2,1,1.170403
3,12,3,1,0.250501
3,12,4,1,0.765491
3,12,5,1,144.792247
3,12,6,1,1.599722
3,12,7,1,0.035119
3,12,8,1,0.031947
3,12,9,1,14.573617
3,12,10,1,0.302576
3,13,1,1,11.384025
3,13,2,1,6.963409
3,13,3,1,0.005775
3,13,4,1,0.744096
3,13,5,1,0.003365
3,13,6,1,1.836814
3,13,7,1,0.003278
3,13,8,1,0.699668
3,13,9,1,0.225180
3,13,10,1,0.302536
3,14,1,1,5.030688
3,14,2,1,0.986461
3,14,3,1,0.859462
3,14,4,1,0.005703
3,14,5,1,0.915040
3,14,6,1,0.016235
3,14,7,1,10.764286
3,14,8,1,0.665761
3,14,9,1,1.902860
3,14,10,1,0.240234
3,15,1,1,2.989150
3,15,2,1,0.425341
3,15,3,1,0.027584
3,15,4,1,0.124675
3,15,5,1,1.452466
3,15,6,1,0.805566
3,15,7,1,0.165059
3,15,8,1,0.573364
3,15,9,1,0.388915
3,15,10,1,0.053421
3,16,1,1,1.145962
3,16,2,1,1.368290
3,16,3,1,0.850009
3,16,4,1,2.060203
3,16,5,1,6.767956
3,16,6,1,5.914550
3,16,7,1,0.404645
3,16,8,1,2.456606
3,16,9,1,4.053667
3,16,10,1,8.033384
3,17,1,1,6.282055
3,17,2,1,37.469290
3,17,3,1,0.016338
3,17,4,1,2.379725
3,17,5,1,1.750249
3,17,6,1,1.394243
3,17,7,1,0.765281
3,17,8,1,0.881340
3,17,9,1,8.782148
3,17,10,1,0.532896
3,18,1,1,5.144003
3,18,2,1,1.010765
3,18,3,1,0.031824
3,18,4,1,0.737664
3,18,5,1,1.426677
3,18,6,1,0.005744
3,18,7,1,1.214136
3,18,8,1,5.783985
3,18,9,1,4.049402
3,18,10,1,5.488895
3,19,1,1,5.737069
3,19,2,1,2.081863
3,19,3,1,9.477624
3,19,4,1,0.896010
3,19,5,1,0.003620
3,19,6,1,0.738181
3,19,7,1,0.068129
3,19,8,1,0.033393
3,19,9,1,0.006032
3,19,10,1,1.892525
