clauses,preds,trial,typed,time
3,0,1,0,0.028140
3,0,2,0,0.135870
3,0,3,0,0.031535
3,0,4,0,0.031618
3,0,5,0,0.150460
3,0,6,0,0.027978
3,0,7,0,0.039765
3,0,8,0,0.140492
3,0,9,0,0.143829
3,0,10,0,0.134445
3,1,1,0,0.121462
3,1,2,0,0.107795
3,1,3,0,0.121391
3,1,4,0,0.155772
3,1,5,0,0.129694
3,1,6,0,0.202337
3,1,7,0,0.035395
3,1,8,0,0.093540
3,1,9,0,0.033249
3,1,10,0,0.042847
3,2,1,0,0.013692
3,2,2,0,0.294431
3,2,3,0,0.144277
3,2,4,0,1.464742
3,2,5,0,1.860198
3,2,6,0,0.542806
3,2,7,0,0.254955
3,2,8,0,2.287251
3,2,9,0,0.987901
3,2,10,0,0.365796
3,3,1,0,0.205082
3,3,2,0,0.277475
3,3,3,0,0.195531
3,3,4,0,0.260288
3,3,5,0,0.359651
3,3,6,0,0.284499
3,3,7,0,0.146514
3,3,8,0,0.157894
3,3,9,0,0.556360
3,3,10,0,0.005824
3,4,1,0,0.828788
3,4,2,0,0.165794
3,4,3,0,0.133096
3,4,4,0,2.176722
3,4,5,0,0.304559
3,4,6,0,0.360144
3,4,7,0,0.069335
3,4,8,0,0.180767
3,4,9,0,0.275853
3,4,10,0,1.618641
3,5,1,0,0.316095
3,5,2,0,0.420620
3,5,3,0,0.008037
3,5,4,0,0.215767
3,5,5,0,0.404550
3,5,6,0,0.398847
3,5,7,0,0.354054
3,5,8,0,0.675907
3,5,9,0,0.461431
3,5,10,0,0.349403
3,6,1,0,0.287317
3,6,2,0,0.099549
3,6,3,0,2.489813
3,6,4,0,0.222287
3,6,5,0,0.005404
3,6,6,0,0.506098
3,6,7,0,0.006148
3,6,8,0,1.065830
3,6,9,0,0.818919
3,6,10,0,0.028440
3,7,1,0,0.617780
3,7,2,0,2.528560
3,7,3,0,0.210632
3,7,4,0,0.242183
3,7,5,0,0.020230
3,7,6,0,0.680933
3,7,7,0,0.250461
3,7,8,0,0.462936
3,7,9,0,0.564108
3,7,10,0,0.083411
3,8,1,0,7.934306
3,8,2,0,0.413348
3,8,3,0,0.339595
3,8,4,0,0.008046
3,8,5,0,0.415550
3,8,6,0,1.692485
3,8,7,0,4.733538
3,8,8,0,0.325353
3,8,9,0,0.005719
3,8,10,0,0.618714
3,9,1,0,0.006820
3,9,2,0,0.491522
3,9,3,0,0.791831
3,9,4,0,2.370980
3,9,5,0,0.788913
3,9,6,0,1.164283
3,9,7,0,2.766117
3,9,8,0,0.371557
3,9,9,0,0.187884
3,9,10,0,2.041606
3,10,1,0,0.009203
3,10,2,0,0.619409
3,10,3,0,0.310376
3,10,4,0,0.032604
3,10,5,0,2.989724
3,10,6,0,0.294715
3,10,7,0,6.569072
3,10,8,0,0.025052
3,10,9,0,0.050622
3,10,10,0,0.719929
3,11,1,0,1.500359
3,11,2,0,2.463058
3,11,3,0,0.974155
3,11,4,0,0.080520
3,11,5,0,1.330291
3,11,6,0,0.547431
3,11,7,0,0.008832
3,11,8,0,0.849980
3,11,9,0,0.588363
3,11,10,0,0.287484
3,12,1,0,5.458452
3,12,2,0,3.047384
3,12,3,0,0.998540
3,12,4,0,1.760879
3,12,5,0,0.056789
3,12,6,0,1.028129
3,12,7,0,0.064918
3,12,8,0,0.071136
3,12,9,0,14.681489
3,12,10,0,0.748771
3,13,1,0,10.174982
3,13,2,0,2.754343
3,13,3,0,0.008761
3,13,4,0,1.373610
3,13,5,0,0.006074
3,13,6,0,3.007244
3,13,7,0,0.003307
3,13,8,0,1.716517
3,13,9,0,0.785469
3,13,10,0,1.217047
3,14,1,0,6.317620
3,14,2,0,2.510253
3,14,3,0,1.492713
3,14,4,0,0.008957
3,14,5,0,5.306457
3,14,6,0,0.043760
3,14,7,0,1.235553
3,14,8,0,4.078927
3,14,9,0,6.966638
3,14,10,0,2.114295
3,15,1,0,8.006702
3,15,2,0,3.053928
3,15,3,0,0.047433
3,15,4,0,0.432202
3,15,5,0,0.064268
3,15,6,0,0.367154
3,15,7,0,0.863277
3,15,8,0,1.615344
3,15,9,0,0.733948
3,15,10,0,0.129513
3,16,1,0,1.555102
3,16,2,0,4.005541
3,16,3,0,2.141922
3,16,4,0,6.347157
3,16,5,0,0.689128
3,16,6,0,14.450691
3,16,7,0,2.334017
3,16,8,0,0.618057
3,16,9,0,2.728079
3,16,10,0,6.902668
3,17,1,0,14.517372
3,17,2,0,37.384825
3,17,3,0,0.050967
3,17,4,0,3.218906
3,17,5,0,3.556863
3,17,6,0,3.691884
3,17,7,0,2.863416
3,17,8,0,1.974558
3,17,9,0,6.902704
3,17,10,0,2.298892
3,18,1,0,6.247695
3,18,2,0,3.321491
3,18,3,0,0.009996
3,18,4,0,2.479547
3,18,5,0,3.430884
3,18,6,0,0.008890
3,18,7,0,2.216811
3,18,8,0,7.313746
3,18,9,0,7.444321
3,18,10,0,11.565841
3,19,1,0,11.272449
3,19,2,0,4.180866
3,19,3,0,18.157275
3,19,4,0,4.028577
3,19,5,0,0.006691
3,19,6,0,2.463686
3,19,7,0,0.199216
3,19,8,0,0.010547
3,19,9,0,0.010162
3,19,10,0,4.704281
