clauses,preds,trial,typed,time
3,0,1,1,0.005978
3,0,2,1,0.006032
3,0,3,1,0.006257
3,0,4,1,0.005947
3,0,5,1,0.005967
3,0,6,1,0.006347
3,0,7,1,0.006249
3,0,8,1,0.006320
3,0,9,1,0.005954
3,0,10,1,0.005965
3,1,1,1,0.006232
3,1,2,1,0.006251
3,1,3,1,0.006398
3,1,4,1,0.008491
3,1,5,1,0.006067
3,1,6,1,0.008754
3,1,7,1,0.006185
3,1,8,1,0.008698
3,1,9,1,0.008354
3,1,10,1,0.006262
3,2,1,1,0.008905
3,2,2,1,0.008595
3,2,3,1,0.005811
3,2,4,1,0.010792
3,2,5,1,0.005946
3,2,6,1,0.006295
3,2,7,1,0.006743
3,2,8,1,0.008737
3,2,9,1,0.008825
3,2,10,1,0.012374
3,3,1,1,0.008244
3,3,2,1,0.009944
3,3,3,1,0.009808
3,3,4,1,0.008214
3,3,5,1,0.006668
3,3,6,1,0.008645
3,3,7,1,0.012456
3,3,8,1,0.009511
3,3,9,1,0.013231
3,3,10,1,0.019770
3,4,1,1,0.015045
3,4,2,1,0.006450
3,4,3,1,0.007143
3,4,4,1,0.008392
3,4,5,1,0.006745
3,4,6,1,0.006819
3,4,7,1,0.008823
3,4,8,1,0.007772
3,4,9,1,0.009573
3,4,10,1,0.006489
3,5,1,1,0.009374
3,5,2,1,0.006763
3,5,3,1,0.008427
3,5,4,1,0.012679
3,5,5,1,0.012427
3,5,6,1,0.010393
3,5,7,1,0.012822
3,5,8,1,0.008903
3,5,9,1,0.010196
3,5,10,1,0.013417
3,6,1,1,0.010628
3,6,2,1,0.019079
3,6,3,1,0.007149
3,6,4,1,0.009667
3,6,5,1,0.012285
3,6,6,1,0.011147
3,6,7,1,0.018117
3,6,8,1,0.015164
3,6,9,1,0.009564
3,6,10,1,0.015220
3,7,1,1,0.011923
3,7,2,1,0.009208
3,7,3,1,0.028782
3,7,4,1,0.015070
3,7,5,1,0.007822
3,7,6,1,0.009694
3,7,7,1,0.019227
3,7,8,1,0.012598
3,7,9,1,0.014618
3,7,10,1,0.009966
3,8,1,1,0.018367
3,8,2,1,0.013871
3,8,3,1,0.019036
3,8,4,1,0.007335
3,8,5,1,0.027946
3,8,6,1,0.009846
3,8,7,1,0.035830
3,8,8,1,0.014486
3,8,9,1,0.017981
3,8,10,1,0.028627
3,9,1,1,0.013980
3,9,2,1,0.014194
3,9,3,1,0.030403
3,9,4,1,0.032413
3,9,5,1,0.037684
3,9,6,1,0.015683
3,9,7,1,0.009363
3,9,8,1,0.012610
3,9,9,1,0.008253
3,9,10,1,0.009018
3,10,1,1,0.017764
3,10,2,1,0.015922
3,10,3,1,0.022152
3,10,4,1,0.012549
3,10,5,1,0.020702
3,10,6,1,0.014373
3,10,7,1,0.014666
3,10,8,1,0.010878
3,10,9,1,0.016588
3,10,10,1,0.014157
3,11,1,1,0.012846
3,11,2,1,0.018629
3,11,3,1,0.012845
3,11,4,1,0.012884
3,11,5,1,0.023728
3,11,6,1,0.014559
3,11,7,1,0.013576
3,11,8,1,0.020673
3,11,9,1,0.055302
3,11,10,1,0.018599
3,12,1,1,0.018375
3,12,2,1,0.021288
3,12,3,1,0.014575
3,12,4,1,0.016669
3,12,5,1,0.018675
3,12,6,1,0.017292
3,12,7,1,0.053577
3,12,8,1,0.017402
3,12,9,1,0.021641
3,12,10,1,0.030436
3,13,1,1,0.014151
3,13,2,1,0.011420
3,13,3,1,0.014916
3,13,4,1,0.018155
3,13,5,1,0.018957
3,13,6,1,0.012833
3,13,7,1,0.022101
3,13,8,1,0.012625
3,13,9,1,0.023836
3,13,10,1,0.015992
3,14,1,1,0.025077
3,14,2,1,0.037179
3,14,3,1,0.028338
