preds time error
0 0.0061016 0.00016878006728
1 0.0071692 0.0012166629041
2 0.0083023 0.00215787555248
3 0.0106491 0.00375945609098
4 0.0083251 0.00258891412029
5 0.0105401 0.00222437284295
6 0.012802 0.00393103873748
7 0.0138908 0.00623130005697
8 0.0193325 0.00896192257709
9 0.0183601 0.010868286387
10 0.0159751 0.00348617668482
11 0.0203641 0.0128538032629
12 0.022993 0.0115955051828
13 0.0164986 0.00417023562351
14 0.0304771 0.0165571925589
15 0.0294453 0.0150397619666
16 0.0277367 0.00569896789974
17 0.0343726 0.0145561605225
18 0.0408402 0.018334324675
19 0.0474993 0.0161992992033
20 0.0575555 0.0339809021764
21 0.0517475 0.0202098771245
