clauses,preds,trial,typed,time
3,0,1,0,0.005863
3,0,2,0,0.005625
3,0,3,0,0.006196
3,0,4,0,0.005708
3,0,5,0,0.005685
3,0,6,0,0.005935
3,0,7,0,0.005851
3,0,8,0,0.006165
3,0,9,0,0.005745
3,0,10,0,0.005938
3,1,1,0,0.006412
3,1,2,0,0.008649
3,1,3,0,0.009692
3,1,4,0,0.009217
3,1,5,0,0.009460
3,1,6,0,0.009022
3,1,7,0,0.008666
3,1,8,0,0.022340
3,1,9,0,0.008647
3,1,10,0,0.005763
3,2,1,0,0.009566
3,2,2,0,0.009305
3,2,3,0,0.005827
3,2,4,0,0.012569
3,2,5,0,0.005903
3,2,6,0,0.008947
3,2,7,0,0.006583
3,2,8,0,0.009723
3,2,9,0,0.009370
3,2,10,0,0.013090
3,3,1,0,0.008834
3,3,2,0,0.014763
3,3,3,0,0.012311
3,3,4,0,0.009232
3,3,5,0,0.006450
3,3,6,0,0.008612
3,3,7,0,0.013876
3,3,8,0,0.017558
3,3,9,0,0.013592
3,3,10,0,0.068347
3,4,1,0,0.083931
3,4,2,0,0.009080
3,4,3,0,0.012479
3,4,4,0,0.009506
3,4,5,0,0.010509
3,4,6,0,0.009409
3,4,7,0,0.010448
3,4,8,0,0.016879
3,4,9,0,0.011013
3,4,10,0,0.010243
3,5,1,0,0.012727
3,5,2,0,0.010307
3,5,3,0,0.009858
3,5,4,0,0.029423
3,5,5,0,0.018659
3,5,6,0,0.016613
3,5,7,0,0.018738
3,5,8,0,0.013531
3,5,9,0,0.015730
3,5,10,0,0.023127
3,6,1,0,0.024796
3,6,2,0,0.102384
3,6,3,0,0.016348
3,6,4,0,0.015285
3,6,5,0,0.021351
3,6,6,0,0.020120
3,6,7,0,0.070755
3,6,8,0,0.032046
3,6,9,0,0.015051
3,6,10,0,0.039965
3,7,1,0,0.035270
3,7,2,0,0.011483
3,7,3,0,0.209672
3,7,4,0,0.021397
3,7,5,0,0.012514
3,7,6,0,0.011882
3,7,7,0,0.126781
3,7,8,0,0.036429
3,7,9,0,0.023622
3,7,10,0,0.021826
3,8,1,0,0.080567
3,8,2,0,0.022137
3,8,3,0,0.071283
3,8,4,0,0.013380
3,8,5,0,0.273931
3,8,6,0,0.020682
3,8,7,0,0.354576
3,8,8,0,0.080768
3,8,9,0,0.034411
3,8,10,0,0.195368
3,9,1,0,0.023521
3,9,2,0,0.026035
3,9,3,0,0.164974
3,9,4,0,0.176732
3,9,5,0,0.281630
3,9,6,0,0.074896
3,9,7,0,0.027303
3,9,8,0,0.036751
3,9,9,0,0.027585
3,9,10,0,0.024424
3,10,1,0,0.030427
3,10,2,0,0.145379
3,10,3,0,0.127405
3,10,4,0,0.054792
3,10,5,0,0.180691
3,10,6,0,0.036062
3,10,7,0,0.024796
3,10,8,0,0.029619
3,10,9,0,0.087739
3,10,10,0,0.022854
3,11,1,0,0.033199
3,11,2,0,0.058141
3,11,3,0,0.068455
3,11,4,0,0.089967
3,11,5,0,0.126674
3,11,6,0,0.079061
3,11,7,0,0.027804
3,11,8,0,0.121171
3,11,9,0,0.409052
3,11,10,0,0.053914
3,12,1,0,0.122218
3,12,2,0,0.149489
3,12,3,0,0.038826
3,12,4,0,0.048081
3,12,5,0,0.051382
3,12,6,0,0.060424
3,12,7,0,0.581422
3,12,8,0,0.060190
3,12,9,0,0.092267
3,12,10,0,0.445127
3,13,1,0,0.039654
3,13,2,0,0.052431
3,13,3,0,0.053294
3,13,4,0,0.090532
3,13,5,0,0.077446
3,13,6,0,0.040854
3,13,7,0,0.125601
3,13,8,0,0.045627
3,13,9,0,0.216445
3,13,10,0,0.053165
3,14,1,0,0.194854
3,14,2,0,0.267928
3,14,3,0,0.158178
3,14,4,0,0.141425
3,14,5,0,0.079376
3,14,6,0,0.142619
3,14,7,0,0.389726
3,14,8,0,0.717636
3,14,9,0,0.102877
3,14,10,0,0.073847
3,15,1,0,0.140600
3,15,2,0,0.850753
3,15,3,0,0.087591
3,15,4,0,0.152413
3,15,5,0,0.540841
3,15,6,0,0.502322
3,15,7,0,0.145396
3,15,8,0,0.092393
3,15,9,0,0.105055
3,15,10,0,0.157160
3,16,1,0,0.197373
3,16,2,0,0.201666
3,16,3,0,0.093900
3,16,4,0,0.248177
3,16,5,0,0.165564
3,16,6,0,0.316575
3,16,7,0,0.391843
3,16,8,0,0.356492
3,16,9,0,0.155047
3,16,10,0,0.206400
3,17,1,0,0.294181
3,17,2,0,0.285156
3,17,3,0,0.201828
3,17,4,0,0.630499
3,17,5,0,0.232505
3,17,6,0,0.182648
3,17,7,0,0.740165
3,17,8,0,0.416394
3,17,9,0,0.150450
3,17,10,0,0.116759
3,18,1,0,0.859940
3,18,2,0,0.735653
3,18,3,0,0.737152
3,18,4,0,0.210023
3,18,5,0,0.215943
3,18,6,0,0.258985
3,18,7,0,0.638086
3,18,8,0,0.132975
3,18,9,0,0.342563
3,18,10,0,0.255402
3,19,1,0,0.423008
3,19,2,0,0.439245
3,19,3,0,0.357868
3,19,4,0,0.388897
3,19,5,0,0.574012
3,19,6,0,0.965637
3,19,7,0,0.924093
3,19,8,0,0.529070
3,19,9,0,0.332326
3,19,10,0,0.418035
3,20,1,0,0.437700
3,20,2,0,0.599977
3,20,3,0,0.184684
3,20,4,0,0.368605
3,20,5,0,0.389119
3,20,6,0,0.519885
3,20,7,0,1.066084
3,20,8,0,0.760184
3,20,9,0,1.172373
3,20,10,0,1.244955
3,21,1,0,0.420114
3,21,2,0,1.003604
3,21,3,0,1.015465
3,21,4,0,0.490448
3,21,5,0,0.306895
3,21,6,0,0.597905
3,21,7,0,0.332572
3,21,8,0,0.962424
3,21,9,0,1.069571
3,21,10,0,0.467808
