preds time error
0 0.0058711 0.00019398364765
1 0.0097868 0.00459514687953
2 0.0090883 0.002493657245
3 0.0173575 0.0182348837382
4 0.0183497 0.023154238062
5 0.0168713 0.00601237536808
6 0.0358101 0.0288525183744
7 0.0510876 0.0653445840027
8 0.1147103 0.119127928117
9 0.0863851 0.0903304093456
10 0.0739764 0.057958074146
11 0.1067438 0.111207006657
12 0.1649426 0.189636969508
13 0.0795049 0.0551228663068
14 0.2268466 0.19713125186
15 0.2774524 0.261385464838
16 0.2333037 0.0946498396548
17 0.3250585 0.209338793833
18 0.4386722 0.271819420282
19 0.5352191 0.227934891054
20 0.6743566 0.370351709449
21 0.6666806 0.309508645453
